Aqu,Dij,Arne,Nev,NIt,Gai,MCa,Rome3,Ger1,Sens,Rome2,VimA,Ger2,VimC,Che,Rou,Klo,Paris,VimD,Aux,Ven
  0.0000,141.5000,146.5556,138.2727,139.0000,155.3636,146.1818,336.9091, 78.5000,176.2000,162.0000,309.0000, 91.0000,202.5000, 85.0000, 90.0000,443.0000,104.0000,303.0000,155.0000,231.0000
141.5000,  0.0000,130.1429,124.0000,105.0000,126.3750,135.1250,353.8750, 78.0000,187.0000,      NA,413.6667, 94.0000,149.0000, 69.5000, 68.0000,405.0000,      NA,324.0000, 76.0000,      NA
146.5556,130.1429,  0.0000,121.5556,113.2000,131.1111,139.3333,331.5556, 73.7500,166.0000,116.0000,404.0000, 92.0000,189.0000, 56.0000, 69.0000,419.0000,      NA,324.0000,112.0000,169.0000
138.2727,124.0000,121.5556,  0.0000,117.0000,134.8182,126.4545,333.9091, 80.8333,161.4000,159.5000,305.6000, 93.0000,182.5000, 76.0000, 67.0000,430.0000, 94.0000,311.0000,102.5000,166.0000
139.0000,105.0000,113.2000,117.0000,  0.0000,126.2000,122.4000,380.0000, 95.0000,134.5000,      NA,304.0000,      NA,239.0000,      NA,      NA,      NA,      NA,311.0000,131.0000,173.0000
155.3636,126.3750,131.1111,134.8182,126.2000,  0.0000,136.3636,329.7273,105.0000,169.0000,173.0000,310.2000, 98.0000,181.0000,126.0000, 66.0000,447.0000,250.0000,315.0000,120.5000,158.0000
146.1818,135.1250,139.3333,126.4545,122.4000,136.3636,  0.0000,331.2727, 86.1667,170.0000,159.0000,306.2000,106.0000,184.5000, 89.0000, 79.0000,492.0000,102.0000,308.0000,115.5000,167.0000
336.9091,353.8750,331.5556,333.9091,380.0000,329.7273,331.2727,  0.0000,215.5000,450.8000,370.0000,455.0000,162.0000,227.0000,287.3333,156.0000,707.0000,529.0000,600.0000,212.5000,250.0000
 78.5000, 78.0000, 73.7500, 80.8333, 95.0000,105.0000, 86.1667,215.5000,  0.0000, 72.5000,158.0000,151.6667, 83.0000,152.0000, 80.6667, 82.0000,      NA,100.0000,      NA, 83.0000,      NA
176.2000,187.0000,166.0000,161.4000,134.5000,169.0000,170.0000,450.8000, 72.5000,  0.0000,119.0000,335.5000,      NA,      NA, 74.0000,      NA,420.0000,      NA,322.0000,      NA,      NA
162.0000,      NA,116.0000,159.5000,      NA,173.0000,159.0000,370.0000,158.0000,119.0000,  0.0000,143.0000,      NA,      NA,205.0000,      NA,      NA,206.0000,      NA,      NA,      NA
309.0000,413.6667,404.0000,305.6000,304.0000,310.2000,306.2000,455.0000,151.6667,335.5000,143.0000,  0.0000,      NA,      NA,167.5000,      NA,807.0000,194.0000,      NA,      NA,      NA
 91.0000, 94.0000, 92.0000, 93.0000,      NA, 98.0000,106.0000,162.0000, 83.0000,      NA,      NA,      NA,  0.0000,152.0000,      NA,      NA,      NA,      NA,      NA,      NA,      NA
202.5000,149.0000,189.0000,182.5000,239.0000,181.0000,184.5000,227.0000,152.0000,      NA,      NA,      NA,152.0000,  0.0000,      NA,      NA,      NA,      NA,      NA,229.0000,236.0000
 85.0000, 69.5000, 56.0000, 76.0000,      NA,126.0000, 89.0000,287.3333, 80.6667, 74.0000,205.0000,167.5000,      NA,      NA,  0.0000, 76.0000,      NA,102.0000,      NA,      NA,      NA
 90.0000, 68.0000, 69.0000, 67.0000,      NA, 66.0000, 79.0000,156.0000, 82.0000,      NA,      NA,      NA,      NA,      NA, 76.0000,  0.0000,      NA,      NA,      NA,      NA,      NA
443.0000,405.0000,419.0000,430.0000,      NA,447.0000,492.0000,707.0000,      NA,420.0000,      NA,807.0000,      NA,      NA,      NA,      NA,  0.0000,      NA,      NA,      NA,      NA
104.0000,      NA,      NA, 94.0000,      NA,250.0000,102.0000,529.0000,100.0000,      NA,206.0000,194.0000,      NA,      NA,102.0000,      NA,      NA,  0.0000,      NA,      NA,      NA
303.0000,324.0000,324.0000,311.0000,311.0000,315.0000,308.0000,600.0000,      NA,322.0000,      NA,      NA,      NA,      NA,      NA,      NA,      NA,      NA,  0.0000,      NA,      NA
155.0000, 76.0000,112.0000,102.5000,131.0000,120.5000,115.5000,212.5000, 83.0000,      NA,      NA,      NA,      NA,229.0000,      NA,      NA,      NA,      NA,      NA,  0.0000,150.0000
231.0000,      NA,169.0000,166.0000,173.0000,158.0000,167.0000,250.0000,      NA,      NA,      NA,      NA,      NA,236.0000,      NA,      NA,      NA,      NA,      NA,150.0000,  0.0000
