"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 54.5 46 59.5 50.5 58.5 54 171 156.5 84
"Ger1" 54.5 0 55 39 47.5 38 37.5 129 118.5 87.5
"Sens" 46 55 0 54 43 51.5 52 133.5 123 88.5
"Arne" 59.5 39 54 0 46.5 37 41.5 133 126.5 95
"Nev" 50.5 47.5 43 46.5 0 44 44.5 128.5 120 81.5
"Gai" 58.5 38 51.5 37 44 0 38.5 126.5 120 93
"MCa" 54 37.5 52 41.5 44.5 38.5 0 130 115.5 85
"Rome2" 171 129 133.5 133 128.5 126.5 130 0 68.5 102.5
"Rome3" 156.5 118.5 123 126.5 120 120 115.5 68.5 0 103
"VimA" 84 87.5 88.5 95 81.5 93 85 102.5 103 0
