"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 39.5 39 44 46 46.5 54.5 40.5 109 102
"Ger1" 39.5 0 32 37.5 41 40.5 50.5 35.5 107.5 91
"Ger2" 39 32 0 38.5 40.5 42 51.5 35.5 109 91
"Dij" 44 37.5 38.5 0 36.5 38 50.5 33 103 80.5
"Arne" 46 41 40.5 36.5 0 36 44.5 35.5 107.5 75
"Nev" 46.5 40.5 42 38 36 0 51 36.5 97 73.5
"Gai" 54.5 50.5 51.5 50.5 44.5 51 0 46.5 116.5 79.5
"MCa" 40.5 35.5 35.5 33 35.5 36.5 46.5 0 102 81.5
"Rome3" 109 107.5 109 103 107.5 97 116.5 102 0 179.5
"VimC" 102 91 91 80.5 75 73.5 79.5 81.5 179.5 0
