"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 51 50.5 48 54 49 54.5 79 60 220.5
"Ger1" 51 0 43 52.5 57 40.5 35 78.5 63 246.5
"Dij" 50.5 43 0 39 39 36 31.5 70.5 42 241
"Arne" 48 52.5 39 0 41 36 44 67.5 53.5 266
"Nev" 54 57 39 41 0 45.5 48 75 43.5 255.5
"Che" 49 40.5 36 36 45.5 0 33 72 59 266
"Gai" 54.5 35 31.5 44 48 33 0 74.5 50 254.5
"MCa" 79 78.5 70.5 67.5 75 72 74.5 0 63.5 213
"Rou" 60 63 42 53.5 43.5 59 50 63.5 0 231
"Rome3" 220.5 246.5 241 266 255.5 266 254.5 213 231 0
