"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 31 41 40 40 45.5 34 44.5 170.5 147
"Ger1" 31 0 41 41 41.5 44.5 34.5 46.5 159.5 144
"Dij" 41 41 0 36.5 47 56.5 33.5 42 158.5 136.5
"Sens" 40 41 36.5 0 34.5 49 33.5 52 183 127.5
"Nev" 40 41.5 47 34.5 0 50 42.5 47 171 125.5
"Che" 45.5 44.5 56.5 49 50 0 44.5 58 181.5 141
"Gai" 34 34.5 33.5 33.5 42.5 44.5 0 47 168 132.5
"MCa" 44.5 46.5 42 52 47 58 47 0 166 143.5
"Rome3" 170.5 159.5 158.5 183 171 181.5 168 166 0 194
"VimA" 147 144 136.5 127.5 125.5 141 132.5 143.5 194 0
