"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 22.5 21.5 18.5 19 29.5 40.5 29 22.5 101
"Ger1" 22.5 0 19.5 19 18 29.5 38.5 26 22.5 94.5
"Dij" 21.5 19.5 0 16.5 16.5 27.5 35 23 18 103
"Arne" 18.5 19 16.5 0 14.5 25.5 34 24.5 19 96.5
"Nev" 19 18 16.5 14.5 0 24 34 24.5 18.5 96
"Aux" 29.5 29.5 27.5 25.5 24 0 45 41.5 35 110
"NIt" 40.5 38.5 35 34 34 45 0 42.5 37.5 117
"Gai" 29 26 23 24.5 24.5 41.5 42.5 0 21 110.5
"MCa" 22.5 22.5 18 19 18.5 35 37.5 21 0 109
"Rome3" 101 94.5 103 96.5 96 110 117 110.5 109 0
