"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.0330403152470446 0.0278872385571385 0.0360715368293422 0.0306153379812064 0.0354652925128827 0.0327371930888148 0.10366777811458 0.0948772355259169 0.0509245225826008
"Ger1" 0.0330403152470446 0 0.0333434374052743 0.0236435283419218 0.0287966050318278 0.0230372840254623 0.0227341618672325 0.0782055168232798 0.0718399515004547 0.0530463776902092
"Sens" 0.0278872385571385 0.0333434374052743 0 0.0327371930888148 0.0260685056077599 0.031221582297666 0.0315247044558957 0.0809336162473477 0.0745680509245226 0.0536526220066687
"Arne" 0.0360715368293422 0.0236435283419218 0.0327371930888148 0 0.0281903607153683 0.0224310397090027 0.0251591391330706 0.0806304940891179 0.076689906032131 0.0575932100636557
"Nev" 0.0306153379812064 0.0287966050318278 0.0260685056077599 0.0281903607153683 0 0.0266747499242195 0.0269778720824492 0.07790239466505 0.072749317975144 0.049408911791452
"Gai" 0.0354652925128827 0.0230372840254623 0.031221582297666 0.0224310397090027 0.0266747499242195 0 0.023340406183692 0.076689906032131 0.072749317975144 0.0563807214307366
"MCa" 0.0327371930888148 0.0227341618672325 0.0315247044558957 0.0251591391330706 0.0269778720824492 0.023340406183692 0 0.0788117611397393 0.0700212185510761 0.0515307668990603
"Rome2" 0.10366777811458 0.0782055168232798 0.0809336162473477 0.0806304940891179 0.07790239466505 0.076689906032131 0.0788117611397393 0 0.041527735677478 0.0621400424371022
"Rome3" 0.0948772355259169 0.0718399515004547 0.0745680509245226 0.076689906032131 0.072749317975144 0.072749317975144 0.0700212185510761 0.041527735677478 0 0.0624431645953319
"VimA" 0.0509245225826008 0.0530463776902092 0.0536526220066687 0.0575932100636557 0.049408911791452 0.0563807214307366 0.0515307668990603 0.0621400424371022 0.0624431645953319 0
