"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.148496240601504 0.146616541353383 0.165413533834586 0.172932330827068 0.174812030075188 0.204887218045113 0.152255639097744 0.409774436090226 0.383458646616541
"Ger1" 0.148496240601504 0 0.120300751879699 0.140977443609023 0.154135338345865 0.152255639097744 0.18984962406015 0.133458646616541 0.404135338345865 0.342105263157895
"Ger2" 0.146616541353383 0.120300751879699 0 0.144736842105263 0.152255639097744 0.157894736842105 0.193609022556391 0.133458646616541 0.409774436090226 0.342105263157895
"Dij" 0.165413533834586 0.140977443609023 0.144736842105263 0 0.137218045112782 0.142857142857143 0.18984962406015 0.12406015037594 0.387218045112782 0.302631578947368
"Arne" 0.172932330827068 0.154135338345865 0.152255639097744 0.137218045112782 0 0.135338345864662 0.167293233082707 0.133458646616541 0.404135338345865 0.281954887218045
"Nev" 0.174812030075188 0.152255639097744 0.157894736842105 0.142857142857143 0.135338345864662 0 0.191729323308271 0.137218045112782 0.364661654135338 0.276315789473684
"Gai" 0.204887218045113 0.18984962406015 0.193609022556391 0.18984962406015 0.167293233082707 0.191729323308271 0 0.174812030075188 0.43796992481203 0.298872180451128
"MCa" 0.152255639097744 0.133458646616541 0.133458646616541 0.12406015037594 0.133458646616541 0.137218045112782 0.174812030075188 0 0.383458646616541 0.306390977443609
"Rome3" 0.409774436090226 0.404135338345865 0.409774436090226 0.387218045112782 0.404135338345865 0.364661654135338 0.43796992481203 0.383458646616541 0 0.674812030075188
"VimC" 0.383458646616541 0.342105263157895 0.342105263157895 0.302631578947368 0.281954887218045 0.276315789473684 0.298872180451128 0.306390977443609 0.674812030075188 0
