"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.191729323308271 0.18984962406015 0.180451127819549 0.203007518796992 0.184210526315789 0.204887218045113 0.296992481203008 0.225563909774436 0.828947368421053
"Ger1" 0.191729323308271 0 0.161654135338346 0.197368421052632 0.214285714285714 0.152255639097744 0.131578947368421 0.295112781954887 0.236842105263158 0.926691729323308
"Dij" 0.18984962406015 0.161654135338346 0 0.146616541353383 0.146616541353383 0.135338345864662 0.118421052631579 0.265037593984962 0.157894736842105 0.906015037593985
"Arne" 0.180451127819549 0.197368421052632 0.146616541353383 0 0.154135338345865 0.135338345864662 0.165413533834586 0.253759398496241 0.201127819548872 1
"Nev" 0.203007518796992 0.214285714285714 0.146616541353383 0.154135338345865 0 0.171052631578947 0.180451127819549 0.281954887218045 0.163533834586466 0.960526315789474
"Che" 0.184210526315789 0.152255639097744 0.135338345864662 0.135338345864662 0.171052631578947 0 0.12406015037594 0.270676691729323 0.221804511278195 1
"Gai" 0.204887218045113 0.131578947368421 0.118421052631579 0.165413533834586 0.180451127819549 0.12406015037594 0 0.280075187969925 0.18796992481203 0.956766917293233
"MCa" 0.296992481203008 0.295112781954887 0.265037593984962 0.253759398496241 0.281954887218045 0.270676691729323 0.280075187969925 0 0.238721804511278 0.800751879699248
"Rou" 0.225563909774436 0.236842105263158 0.157894736842105 0.201127819548872 0.163533834586466 0.221804511278195 0.18796992481203 0.238721804511278 0 0.868421052631579
"Rome3" 0.828947368421053 0.926691729323308 0.906015037593985 1 0.960526315789474 1 0.956766917293233 0.800751879699248 0.868421052631579 0
