"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.0845864661654135 0.0808270676691729 0.0695488721804511 0.0714285714285714 0.110902255639098 0.152255639097744 0.109022556390977 0.0845864661654135 0.379699248120301
"Ger1" 0.0845864661654135 0 0.0733082706766917 0.0714285714285714 0.0676691729323308 0.110902255639098 0.144736842105263 0.0977443609022556 0.0845864661654135 0.355263157894737
"Dij" 0.0808270676691729 0.0733082706766917 0 0.0620300751879699 0.0620300751879699 0.103383458646617 0.131578947368421 0.0864661654135338 0.0676691729323308 0.387218045112782
"Arne" 0.0695488721804511 0.0714285714285714 0.0620300751879699 0 0.0545112781954887 0.0958646616541353 0.12781954887218 0.0921052631578947 0.0714285714285714 0.362781954887218
"Nev" 0.0714285714285714 0.0676691729323308 0.0620300751879699 0.0545112781954887 0 0.0902255639097744 0.12781954887218 0.0921052631578947 0.0695488721804511 0.360902255639098
"Aux" 0.110902255639098 0.110902255639098 0.103383458646617 0.0958646616541353 0.0902255639097744 0 0.169172932330827 0.156015037593985 0.131578947368421 0.413533834586466
"NIt" 0.152255639097744 0.144736842105263 0.131578947368421 0.12781954887218 0.12781954887218 0.169172932330827 0 0.159774436090226 0.140977443609023 0.43984962406015
"Gai" 0.109022556390977 0.0977443609022556 0.0864661654135338 0.0921052631578947 0.0921052631578947 0.156015037593985 0.159774436090226 0 0.0789473684210526 0.415413533834586
"MCa" 0.0845864661654135 0.0845864661654135 0.0676691729323308 0.0714285714285714 0.0695488721804511 0.131578947368421 0.140977443609023 0.0789473684210526 0 0.409774436090226
"Rome3" 0.379699248120301 0.355263157894737 0.387218045112782 0.362781954887218 0.360902255639098 0.413533834586466 0.43984962406015 0.415413533834586 0.409774436090226 0
