"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.116541353383459 0.154135338345865 0.150375939849624 0.150375939849624 0.171052631578947 0.12781954887218 0.167293233082707 0.640977443609023 0.552631578947368
"Ger1" 0.116541353383459 0 0.154135338345865 0.154135338345865 0.156015037593985 0.167293233082707 0.129699248120301 0.174812030075188 0.599624060150376 0.541353383458647
"Dij" 0.154135338345865 0.154135338345865 0 0.137218045112782 0.176691729323308 0.212406015037594 0.12593984962406 0.157894736842105 0.595864661654135 0.513157894736842
"Sens" 0.150375939849624 0.154135338345865 0.137218045112782 0 0.129699248120301 0.184210526315789 0.12593984962406 0.195488721804511 0.68796992481203 0.479323308270677
"Nev" 0.150375939849624 0.156015037593985 0.176691729323308 0.129699248120301 0 0.18796992481203 0.159774436090226 0.176691729323308 0.642857142857143 0.471804511278196
"Che" 0.171052631578947 0.167293233082707 0.212406015037594 0.184210526315789 0.18796992481203 0 0.167293233082707 0.218045112781955 0.682330827067669 0.530075187969925
"Gai" 0.12781954887218 0.129699248120301 0.12593984962406 0.12593984962406 0.159774436090226 0.167293233082707 0 0.176691729323308 0.631578947368421 0.49812030075188
"MCa" 0.167293233082707 0.174812030075188 0.157894736842105 0.195488721804511 0.176691729323308 0.218045112781955 0.176691729323308 0 0.62406015037594 0.539473684210526
"Rome3" 0.640977443609023 0.599624060150376 0.595864661654135 0.68796992481203 0.642857142857143 0.682330827067669 0.631578947368421 0.62406015037594 0 0.729323308270677
"VimA" 0.552631578947368 0.541353383458647 0.513157894736842 0.479323308270677 0.471804511278196 0.530075187969925 0.49812030075188 0.539473684210526 0.729323308270677 0
