"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 92 102.722222222222 89.6818181818182 96.1 138.045454545455 101.272727272727 673.909090909091 44.75 121.9 191 358.1 49.5 184.75 52.1666666666667 60 328.5 60 333.5 125 190.5
"Dij" 92 0 83.0714285714286 72.875 70 87.5625 94.5625 676.4375 43 128.25 NA 515.166666666667 50 110.5 47.25 42 239.5 NA 382 56 NA
"Arne" 102.722222222222 83.0714285714286 0 73.3333333333333 69.4 93.5555555555556 98.2222222222222 598.333333333333 43.375 101 124 499 52 164 36 53.5 292.5 NA 383 72.5 101.5
"Nev" 89.6818181818182 72.875 73.3333333333333 0 73.7 118.863636363636 79.8636363636364 662.681818181818 49.4166666666667 107.1 181.25 365.2 51.5 154.25 49.3333333333333 43.5 258 50 351.5 58.25 94
"NIt" 96.1 70 69.4 73.7 0 83.3 76.4 861.4 70.5 81.25 NA 355 NA 227.5 NA NA NA NA 330.5 86.5 102.5
"Gai" 138.045454545455 87.5625 93.5555555555556 118.863636363636 83.3 0 130.272727272727 640.863636363636 121.166666666667 135.7 272 404.5 61 147 193 50 372.5 481 372.5 78.75 89
"MCa" 101.272727272727 94.5625 98.2222222222222 79.8636363636364 76.4 130.272727272727 0 655.363636363636 53.75 127.4 182 372.1 60 148.25 66.1666666666667 63.5 403 55 341 68.25 94.5
"Rome3" 673.909090909091 676.4375 598.333333333333 662.681818181818 861.4 640.863636363636 655.363636363636 0 420.416666666667 924.4 1164.5 999.9 136 263.5 707.333333333333 231 816.5 1655.5 1430 212.75 232
"Ger1" 44.75 43 43.375 49.4166666666667 70.5 121.166666666667 53.75 420.416666666667 0 44.75 177.5 160.166666666667 41.5 121 49 63 NA 57 NA 61.5 NA
"Sens" 121.9 128.25 101 107.1 81.25 135.7 127.4 924.4 44.75 0 124.5 401.5 NA NA 51 NA 303 NA 398 NA NA
"Rome2" 191 NA 124 181.25 NA 272 182 1164.5 177.5 124.5 0 133.5 NA NA 255.5 NA NA 246 NA NA NA
"VimA" 358.1 515.166666666667 499 365.2 355 404.5 372.1 999.9 160.166666666667 401.5 133.5 0 NA NA 193.25 NA 1099.5 238 NA NA NA
"Ger2" 49.5 50 52 51.5 NA 61 60 136 41.5 NA NA NA 0 121 NA NA NA NA NA NA NA
"VimC" 184.75 110.5 164 154.25 227.5 147 148.25 263.5 121 NA NA NA 121 0 NA NA NA NA NA 217.5 226
"Che" 52.1666666666667 47.25 36 49.3333333333333 NA 193 66.1666666666667 707.333333333333 49 51 255.5 193.25 NA NA 0 59 NA 60 NA NA NA
"Rou" 60 42 53.5 43.5 NA 50 63.5 231 63 NA NA NA NA NA 59 0 NA NA NA NA NA
"Klo" 328.5 239.5 292.5 258 NA 372.5 403 816.5 NA 303 NA 1099.5 NA NA NA NA 0 NA NA NA NA
"Paris" 60 NA NA 50 NA 481 55 1655.5 57 NA 246 238 NA NA 60 NA NA 0 NA NA NA
"VimD" 333.5 382 383 351.5 330.5 372.5 341 1430 NA 398 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 125 56 72.5 58.25 86.5 78.75 68.25 212.75 61.5 NA NA NA NA 217.5 NA NA NA NA NA 0 79
"Ven" 190.5 NA 101.5 94 102.5 89 94.5 232 NA NA NA NA NA 226 NA NA NA NA NA 79 0
