"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 54.25 60 56.5 93 74 66 220.5 47.25 69 191 236.5 49.5 184.75 49 60 328.5 60 333.5 125 190.5
"Dij" 54.25 0 45.5 49 67 56.5 57.25 231.75 43.25 74 NA 336 50 110.5 47.25 42 239.5 NA 382 56 NA
"Arne" 60 45.5 0 47 66 62 63 236.5 45.5 55.75 124 330 52 164 36 53.5 292.5 NA 383 72.5 101.5
"Nev" 56.5 49 47 0 84.5 60 61 225 49.75 67 181.25 236 51.5 154.25 50.5 43.5 258 50 351.5 58.25 94
"NIt" 93 67 66 84.5 0 78.5 69.5 255.5 70.5 81.25 NA 355 NA 227.5 NA NA NA NA 330.5 86.5 102.5
"Gai" 74 56.5 62 60 78.5 0 71 247 48.5 61.5 272 343.5 61 147 46.5 50 372.5 481 372.5 78.75 89
"MCa" 66 57.25 63 61 69.5 71 0 213 54 63 182 250 60 148.25 66.5 63.5 403 55 341 68.25 94.5
"Rome3" 220.5 231.75 236.5 225 255.5 247 213 0 186 782.5 1164.5 1006 136 263.5 266 231 816.5 1655.5 1430 212.75 232
"Ger1" 47.25 43.25 45.5 49.75 70.5 48.5 54 186 0 44.75 177.5 146 41.5 121 47 63 NA 57 NA 61.5 NA
"Sens" 69 74 55.75 67 81.25 61.5 63 782.5 44.75 0 124.5 235.25 NA NA 51 NA 303 NA 398 NA NA
"Rome2" 191 NA 124 181.25 NA 272 182 1164.5 177.5 124.5 0 133.5 NA NA 255.5 NA NA 246 NA NA NA
"VimA" 236.5 336 330 236 355 343.5 250 1006 146 235.25 133.5 0 NA NA 193.25 NA 1099.5 238 NA NA NA
"Ger2" 49.5 50 52 51.5 NA 61 60 136 41.5 NA NA NA 0 121 NA NA NA NA NA NA NA
"VimC" 184.75 110.5 164 154.25 227.5 147 148.25 263.5 121 NA NA NA 121 0 NA NA NA NA NA 217.5 226
"Che" 49 47.25 36 50.5 NA 46.5 66.5 266 47 51 255.5 193.25 NA NA 0 59 NA 60 NA NA NA
"Rou" 60 42 53.5 43.5 NA 50 63.5 231 63 NA NA NA NA NA 59 0 NA NA NA NA NA
"Klo" 328.5 239.5 292.5 258 NA 372.5 403 816.5 NA 303 NA 1099.5 NA NA NA NA 0 NA NA NA NA
"Paris" 60 NA NA 50 NA 481 55 1655.5 57 NA 246 238 NA NA 60 NA NA 0 NA NA NA
"VimD" 333.5 382 383 351.5 330.5 372.5 341 1430 NA 398 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 125 56 72.5 58.25 86.5 78.75 68.25 212.75 61.5 NA NA NA NA 217.5 NA NA NA NA NA 0 79
"Ven" 190.5 NA 101.5 94 102.5 89 94.5 232 NA NA NA NA NA 226 NA NA NA NA NA 79 0
