"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.469387755102041 0.464285714285714 0.5 0.489795918367347 0.494897959183673 0.505102040816326 0.561224489795918 0.841836734693878 0.795918367346939
"Ger1" 0.469387755102041 0 0.423469387755102 0.479591836734694 0.474489795918367 0.469387755102041 0.5 0.540816326530612 0.821428571428571 0.775510204081633
"Ger2" 0.464285714285714 0.423469387755102 0 0.479591836734694 0.469387755102041 0.474489795918367 0.5 0.540816326530612 0.826530612244898 0.775510204081633
"Dij" 0.5 0.479591836734694 0.479591836734694 0 0.443877551020408 0.469387755102041 0.505102040816326 0.525510204081633 0.846938775510204 0.760204081632653
"Arne" 0.489795918367347 0.474489795918367 0.469387755102041 0.443877551020408 0 0.448979591836735 0.464285714285714 0.540816326530612 0.841836734693878 0.724489795918367
"Nev" 0.494897959183673 0.469387755102041 0.474489795918367 0.469387755102041 0.448979591836735 0 0.479591836734694 0.540816326530612 0.806122448979592 0.719387755102041
"Gai" 0.505102040816326 0.5 0.5 0.505102040816326 0.464285714285714 0.479591836734694 0 0.561224489795918 0.841836734693878 0.739795918367347
"MCa" 0.561224489795918 0.540816326530612 0.540816326530612 0.525510204081633 0.540816326530612 0.540816326530612 0.561224489795918 0 0.826530612244898 0.760204081632653
"Rome3" 0.841836734693878 0.821428571428571 0.826530612244898 0.846938775510204 0.841836734693878 0.806122448979592 0.841836734693878 0.826530612244898 0 0.943877551020408
"VimC" 0.795918367346939 0.775510204081633 0.775510204081633 0.760204081632653 0.724489795918367 0.719387755102041 0.739795918367347 0.760204081632653 0.943877551020408 0
