"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.111731843575419 0.110335195530726 0.106145251396648 0.111731843575419 0.108938547486034 0.115921787709497 0.134078212290503 0.125698324022346 0.230446927374302
"Ger1" 0.111731843575419 0 0.0977653631284916 0.104748603351955 0.106145251396648 0.0935754189944134 0.0865921787709497 0.127094972067039 0.114525139664804 0.227653631284916
"Dij" 0.110335195530726 0.0977653631284916 0 0.0893854748603352 0.0865921787709497 0.0865921787709497 0.079608938547486 0.115921787709497 0.0949720670391061 0.229050279329609
"Arne" 0.106145251396648 0.104748603351955 0.0893854748603352 0 0.0837988826815642 0.0782122905027933 0.0893854748603352 0.110335195530726 0.0963687150837989 0.240223463687151
"Nev" 0.111731843575419 0.106145251396648 0.0865921787709497 0.0837988826815642 0 0.085195530726257 0.0865921787709497 0.111731843575419 0.0935754189944134 0.227653631284916
"Che" 0.108938547486034 0.0935754189944134 0.0865921787709497 0.0782122905027933 0.085195530726257 0 0.0810055865921788 0.111731843575419 0.106145251396648 0.240223463687151
"Gai" 0.115921787709497 0.0865921787709497 0.079608938547486 0.0893854748603352 0.0865921787709497 0.0810055865921788 0 0.113128491620112 0.0921787709497207 0.233240223463687
"MCa" 0.134078212290503 0.127094972067039 0.115921787709497 0.110335195530726 0.111731843575419 0.111731843575419 0.113128491620112 0 0.110335195530726 0.20391061452514
"Rou" 0.125698324022346 0.114525139664804 0.0949720670391061 0.0963687150837989 0.0935754189944134 0.106145251396648 0.0921787709497207 0.110335195530726 0 0.217877094972067
"Rome3" 0.230446927374302 0.227653631284916 0.229050279329609 0.240223463687151 0.227653631284916 0.240223463687151 0.233240223463687 0.20391061452514 0.217877094972067 0
