"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.103351955307263 0.106145251396648 0.0991620111731844 0.107541899441341 0.118715083798883 0.136871508379888 0.135474860335196 0.114525139664804 0.26536312849162
"Ger1" 0.103351955307263 0 0.0991620111731844 0.0991620111731844 0.10195530726257 0.115921787709497 0.13268156424581 0.124301675977654 0.113128491620112 0.252793296089385
"Dij" 0.106145251396648 0.0991620111731844 0 0.0865921787709497 0.0935754189944134 0.106145251396648 0.120111731843575 0.106145251396648 0.0935754189944134 0.252793296089385
"Arne" 0.0991620111731844 0.0991620111731844 0.0865921787709497 0 0.0837988826815642 0.0977653631284916 0.113128491620112 0.111731843575419 0.0977653631284916 0.247206703910615
"Nev" 0.107541899441341 0.10195530726257 0.0935754189944134 0.0837988826815642 0 0.079608938547486 0.104748603351955 0.104748603351955 0.0893854748603352 0.245810055865922
"Aux" 0.118715083798883 0.115921787709497 0.106145251396648 0.0977653631284916 0.079608938547486 0 0.11731843575419 0.11731843575419 0.0977653631284916 0.254189944134078
"NIt" 0.136871508379888 0.13268156424581 0.120111731843575 0.113128491620112 0.104748603351955 0.11731843575419 0 0.131284916201117 0.11731843575419 0.273743016759777
"Gai" 0.135474860335196 0.124301675977654 0.106145251396648 0.111731843575419 0.104748603351955 0.11731843575419 0.131284916201117 0 0.0963687150837989 0.266759776536313
"MCa" 0.114525139664804 0.113128491620112 0.0935754189944134 0.0977653631284916 0.0893854748603352 0.0977653631284916 0.11731843575419 0.0963687150837989 0 0.248603351955307
"Rome3" 0.26536312849162 0.252793296089385 0.252793296089385 0.247206703910615 0.245810055865922 0.254189944134078 0.273743016759777 0.266759776536313 0.248603351955307 0
