"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.321428571428571 0.336734693877551 0.352040816326531 0.352040816326531 0.352040816326531 0.326530612244898 0.663265306122449 0.607142857142857 0.551020408163265
"Ger1" 0.321428571428571 0 0.346938775510204 0.285714285714286 0.341836734693878 0.285714285714286 0.280612244897959 0.591836734693878 0.556122448979592 0.556122448979592
"Sens" 0.336734693877551 0.346938775510204 0 0.336734693877551 0.316326530612245 0.321428571428571 0.326530612244898 0.607142857142857 0.571428571428571 0.545918367346939
"Arne" 0.352040816326531 0.285714285714286 0.336734693877551 0 0.331632653061224 0.275510204081633 0.301020408163265 0.591836734693878 0.576530612244898 0.571428571428571
"Nev" 0.352040816326531 0.341836734693878 0.316326530612245 0.331632653061224 0 0.316326530612245 0.321428571428571 0.596938775510204 0.571428571428571 0.535714285714286
"Gai" 0.352040816326531 0.285714285714286 0.321428571428571 0.275510204081633 0.316326530612245 0 0.280612244897959 0.576530612244898 0.561224489795918 0.561224489795918
"MCa" 0.326530612244898 0.280612244897959 0.326530612244898 0.301020408163265 0.321428571428571 0.280612244897959 0 0.591836734693878 0.535714285714286 0.551020408163265
"Rome2" 0.663265306122449 0.591836734693878 0.607142857142857 0.591836734693878 0.596938775510204 0.576530612244898 0.591836734693878 0 0.301020408163265 0.596938775510204
"Rome3" 0.607142857142857 0.556122448979592 0.571428571428571 0.576530612244898 0.571428571428571 0.561224489795918 0.535714285714286 0.301020408163265 0 0.612244897959184
"VimA" 0.551020408163265 0.556122448979592 0.545918367346939 0.571428571428571 0.535714285714286 0.561224489795918 0.551020408163265 0.596938775510204 0.612244897959184 0
