"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.408163265306122 0.403061224489796 0.387755102040816 0.408163265306122 0.397959183673469 0.423469387755102 0.489795918367347 0.459183673469388 0.841836734693878
"Ger1" 0.408163265306122 0 0.357142857142857 0.38265306122449 0.387755102040816 0.341836734693878 0.316326530612245 0.464285714285714 0.418367346938776 0.831632653061224
"Dij" 0.403061224489796 0.357142857142857 0 0.326530612244898 0.316326530612245 0.316326530612245 0.290816326530612 0.423469387755102 0.346938775510204 0.836734693877551
"Arne" 0.387755102040816 0.38265306122449 0.326530612244898 0 0.306122448979592 0.285714285714286 0.326530612244898 0.403061224489796 0.352040816326531 0.877551020408163
"Nev" 0.408163265306122 0.387755102040816 0.316326530612245 0.306122448979592 0 0.311224489795918 0.316326530612245 0.408163265306122 0.341836734693878 0.831632653061224
"Che" 0.397959183673469 0.341836734693878 0.316326530612245 0.285714285714286 0.311224489795918 0 0.295918367346939 0.408163265306122 0.387755102040816 0.877551020408163
"Gai" 0.423469387755102 0.316326530612245 0.290816326530612 0.326530612244898 0.316326530612245 0.295918367346939 0 0.413265306122449 0.336734693877551 0.852040816326531
"MCa" 0.489795918367347 0.464285714285714 0.423469387755102 0.403061224489796 0.408163265306122 0.408163265306122 0.413265306122449 0 0.403061224489796 0.744897959183674
"Rou" 0.459183673469388 0.418367346938776 0.346938775510204 0.352040816326531 0.341836734693878 0.387755102040816 0.336734693877551 0.403061224489796 0 0.795918367346939
"Rome3" 0.841836734693878 0.831632653061224 0.836734693877551 0.877551020408163 0.831632653061224 0.877551020408163 0.852040816326531 0.744897959183674 0.795918367346939 0
