"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.336734693877551 0.387755102040816 0.377551020408163 0.377551020408163 0.372448979591837 0.357142857142857 0.38265306122449 0.795918367346939 0.709183673469388
"Ger1" 0.336734693877551 0 0.392857142857143 0.392857142857143 0.387755102040816 0.36734693877551 0.36734693877551 0.397959183673469 0.780612244897959 0.714285714285714
"Dij" 0.387755102040816 0.392857142857143 0 0.331632653061224 0.377551020408163 0.392857142857143 0.341836734693878 0.36734693877551 0.780612244897959 0.719387755102041
"Sens" 0.377551020408163 0.392857142857143 0.331632653061224 0 0.341836734693878 0.377551020408163 0.341836734693878 0.36734693877551 0.826530612244898 0.688775510204082
"Nev" 0.377551020408163 0.387755102040816 0.377551020408163 0.341836734693878 0 0.377551020408163 0.372448979591837 0.346938775510204 0.795918367346939 0.668367346938776
"Che" 0.372448979591837 0.36734693877551 0.392857142857143 0.377551020408163 0.377551020408163 0 0.362244897959184 0.397959183673469 0.831632653061224 0.704081632653061
"Gai" 0.357142857142857 0.36734693877551 0.341836734693878 0.341836734693878 0.372448979591837 0.362244897959184 0 0.36734693877551 0.806122448979592 0.688775510204082
"MCa" 0.38265306122449 0.397959183673469 0.36734693877551 0.36734693877551 0.346938775510204 0.397959183673469 0.36734693877551 0 0.775510204081633 0.698979591836735
"Rome3" 0.795918367346939 0.780612244897959 0.780612244897959 0.826530612244898 0.795918367346939 0.831632653061224 0.806122448979592 0.775510204081633 0 0.862244897959184
"VimA" 0.709183673469388 0.714285714285714 0.719387755102041 0.688775510204082 0.668367346938776 0.704081632653061 0.688775510204082 0.698979591836735 0.862244897959184 0
