"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.377551020408163 0.387755102040816 0.362244897959184 0.392857142857143 0.433673469387755 0.5 0.494897959183673 0.418367346938776 0.969387755102041
"Ger1" 0.377551020408163 0 0.362244897959184 0.362244897959184 0.372448979591837 0.423469387755102 0.48469387755102 0.454081632653061 0.413265306122449 0.923469387755102
"Dij" 0.387755102040816 0.362244897959184 0 0.316326530612245 0.341836734693878 0.387755102040816 0.438775510204082 0.387755102040816 0.341836734693878 0.923469387755102
"Arne" 0.362244897959184 0.362244897959184 0.316326530612245 0 0.306122448979592 0.357142857142857 0.413265306122449 0.408163265306122 0.357142857142857 0.903061224489796
"Nev" 0.392857142857143 0.372448979591837 0.341836734693878 0.306122448979592 0 0.290816326530612 0.38265306122449 0.38265306122449 0.326530612244898 0.897959183673469
"Aux" 0.433673469387755 0.423469387755102 0.387755102040816 0.357142857142857 0.290816326530612 0 0.428571428571429 0.428571428571429 0.357142857142857 0.928571428571429
"NIt" 0.5 0.48469387755102 0.438775510204082 0.413265306122449 0.38265306122449 0.428571428571429 0 0.479591836734694 0.428571428571429 1
"Gai" 0.494897959183673 0.454081632653061 0.387755102040816 0.408163265306122 0.38265306122449 0.428571428571429 0.479591836734694 0 0.352040816326531 0.974489795918367
"MCa" 0.418367346938776 0.413265306122449 0.341836734693878 0.357142857142857 0.326530612244898 0.357142857142857 0.428571428571429 0.352040816326531 0 0.908163265306122
"Rome3" 0.969387755102041 0.923469387755102 0.923469387755102 0.903061224489796 0.897959183673469 0.928571428571429 1 0.974489795918367 0.908163265306122 0
