"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 141.5 146.555555555556 138.272727272727 139 155.363636363636 146.181818181818 336.909090909091 78.5 176.2 162 309 91 202.5 85 90 443 104 303 155 231
"Dij" 141.5 0 130.142857142857 124 105 126.375 135.125 353.875 78 187 NA 413.666666666667 94 149 69.5 68 405 NA 324 76 NA
"Arne" 146.555555555556 130.142857142857 0 121.555555555556 113.2 131.111111111111 139.333333333333 331.555555555556 73.75 166 116 404 92 189 56 69 419 NA 324 112 169
"Nev" 138.272727272727 124 121.555555555556 0 117 134.818181818182 126.454545454545 333.909090909091 80.8333333333333 161.4 159.5 305.6 93 182.5 76 67 430 94 311 102.5 166
"NIt" 139 105 113.2 117 0 126.2 122.4 380 95 134.5 NA 304 NA 239 NA NA NA NA 311 131 173
"Gai" 155.363636363636 126.375 131.111111111111 134.818181818182 126.2 0 136.363636363636 329.727272727273 105 169 173 310.2 98 181 126 66 447 250 315 120.5 158
"MCa" 146.181818181818 135.125 139.333333333333 126.454545454545 122.4 136.363636363636 0 331.272727272727 86.1666666666667 170 159 306.2 106 184.5 89 79 492 102 308 115.5 167
"Rome3" 336.909090909091 353.875 331.555555555556 333.909090909091 380 329.727272727273 331.272727272727 0 215.5 450.8 370 455 162 227 287.333333333333 156 707 529 600 212.5 250
"Ger1" 78.5 78 73.75 80.8333333333333 95 105 86.1666666666667 215.5 0 72.5 158 151.666666666667 83 152 80.6666666666667 82 NA 100 NA 83 NA
"Sens" 176.2 187 166 161.4 134.5 169 170 450.8 72.5 0 119 335.5 NA NA 74 NA 420 NA 322 NA NA
"Rome2" 162 NA 116 159.5 NA 173 159 370 158 119 0 143 NA NA 205 NA NA 206 NA NA NA
"VimA" 309 413.666666666667 404 305.6 304 310.2 306.2 455 151.666666666667 335.5 143 0 NA NA 167.5 NA 807 194 NA NA NA
"Ger2" 91 94 92 93 NA 98 106 162 83 NA NA NA 0 152 NA NA NA NA NA NA NA
"VimC" 202.5 149 189 182.5 239 181 184.5 227 152 NA NA NA 152 0 NA NA NA NA NA 229 236
"Che" 85 69.5 56 76 NA 126 89 287.333333333333 80.6666666666667 74 205 167.5 NA NA 0 76 NA 102 NA NA NA
"Rou" 90 68 69 67 NA 66 79 156 82 NA NA NA NA NA 76 0 NA NA NA NA NA
"Klo" 443 405 419 430 NA 447 492 707 NA 420 NA 807 NA NA NA NA 0 NA NA NA NA
"Paris" 104 NA NA 94 NA 250 102 529 100 NA 206 194 NA NA 102 NA NA 0 NA NA NA
"VimD" 303 324 324 311 311 315 308 600 NA 322 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 155 76 112 102.5 131 120.5 115.5 212.5 83 NA NA NA NA 229 NA NA NA NA NA 0 150
"Ven" 231 NA 169 166 173 158 167 250 NA NA NA NA NA 236 NA NA NA NA NA 150 0
