"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 88.5 96 97 140 99 108 190 77 120 162 197 91 202.5 78 90 443 104 303 155 231
"Dij" 88.5 0 87 83 102 87.5 93 173.5 74 126 NA 294 94 149 69.5 68 405 NA 324 76 NA
"Arne" 96 87 0 88 114 91 106 177 73 108.5 116 294 92 189 56 69 419 NA 324 112 169
"Nev" 97 83 88 0 131 94 103 176 76 114 159.5 198 93 182.5 74 67 430 94 311 102.5 166
"NIt" 140 102 114 131 0 129 123 255 95 134.5 NA 304 NA 239 NA NA NA NA 311 131 173
"Gai" 99 87.5 91 94 129 0 104 191 80.5 113 173 201 98 181 71 66 447 250 315 120.5 158
"MCa" 108 93 106 103 123 104 0 178 86 116 159 198 106 184.5 80 79 492 102 308 115.5 167
"Rome3" 190 173.5 177 176 255 191 178 0 162 577 370 535 162 227 172 156 707 529 600 212.5 250
"Ger1" 77 74 73 76 95 80.5 86 162 0 72.5 158 140 83 152 72 82 NA 100 NA 83 NA
"Sens" 120 126 108.5 114 134.5 113 116 577 72.5 0 119 215.5 NA NA 74 NA 420 NA 322 NA NA
"Rome2" 162 NA 116 159.5 NA 173 159 370 158 119 0 143 NA NA 205 NA NA 206 NA NA NA
"VimA" 197 294 294 198 304 201 198 535 140 215.5 143 0 NA NA 167.5 NA 807 194 NA NA NA
"Ger2" 91 94 92 93 NA 98 106 162 83 NA NA NA 0 152 NA NA NA NA NA NA NA
"VimC" 202.5 149 189 182.5 239 181 184.5 227 152 NA NA NA 152 0 NA NA NA NA NA 229 236
"Che" 78 69.5 56 74 NA 71 80 172 72 74 205 167.5 NA NA 0 76 NA 102 NA NA NA
"Rou" 90 68 69 67 NA 66 79 156 82 NA NA NA NA NA 76 0 NA NA NA NA NA
"Klo" 443 405 419 430 NA 447 492 707 NA 420 NA 807 NA NA NA NA 0 NA NA NA NA
"Paris" 104 NA NA 94 NA 250 102 529 100 NA 206 194 NA NA 102 NA NA 0 NA NA NA
"VimD" 303 324 324 311 311 315 308 600 NA 322 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 155 76 112 102.5 131 120.5 115.5 212.5 83 NA NA NA NA 229 NA NA NA NA NA 0 150
"Ven" 231 NA 169 166 173 158 167 250 NA NA NA NA NA 236 NA NA NA NA NA 150 0
