"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.883495145631068 0.718446601941748 0.980582524271845 0.805825242718447 0.961165048543689 0.87378640776699 3.14563106796116 2.86407766990291 1.45631067961165
"Ger1" 0.883495145631068 0 0.893203883495146 0.58252427184466 0.747572815533981 0.563106796116505 0.553398058252427 2.33009708737864 2.12621359223301 1.52427184466019
"Sens" 0.718446601941748 0.893203883495146 0 0.87378640776699 0.660194174757282 0.825242718446602 0.83495145631068 2.41747572815534 2.21359223300971 1.54368932038835
"Arne" 0.980582524271845 0.58252427184466 0.87378640776699 0 0.728155339805825 0.543689320388349 0.631067961165049 2.40776699029126 2.28155339805825 1.66990291262136
"Nev" 0.805825242718447 0.747572815533981 0.660194174757282 0.728155339805825 0 0.679611650485437 0.689320388349515 2.32038834951456 2.15533980582524 1.40776699029126
"Gai" 0.961165048543689 0.563106796116505 0.825242718446602 0.543689320388349 0.679611650485437 0 0.572815533980582 2.28155339805825 2.15533980582524 1.63106796116505
"MCa" 0.87378640776699 0.553398058252427 0.83495145631068 0.631067961165049 0.689320388349515 0.572815533980582 0 2.3495145631068 2.06796116504854 1.47572815533981
"Rome2" 3.14563106796116 2.33009708737864 2.41747572815534 2.40776699029126 2.32038834951456 2.28155339805825 2.3495145631068 0 1.15533980582524 1.81553398058252
"Rome3" 2.86407766990291 2.12621359223301 2.21359223300971 2.28155339805825 2.15533980582524 2.15533980582524 2.06796116504854 1.15533980582524 0 1.8252427184466
"VimA" 1.45631067961165 1.52427184466019 1.54368932038835 1.66990291262136 1.40776699029126 1.63106796116505 1.47572815533981 1.81553398058252 1.8252427184466 0
