"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.628930817610063 0.622641509433962 0.729559748427673 0.754716981132076 0.710691823899371 0.811320754716981 0.830188679245283 1.86792452830189 1.66037735849057
"Ger1" 0.628930817610063 0 0.522012578616352 0.616352201257862 0.660377358490566 0.628930817610063 0.754716981132076 0.754716981132076 1.69182389937107 1.52201257861635
"Ger2" 0.622641509433962 0.522012578616352 0 0.628930817610063 0.654088050314465 0.647798742138365 0.767295597484277 0.754716981132076 1.71069182389937 1.52201257861635
"Dij" 0.729559748427673 0.616352201257862 0.628930817610063 0 0.572327044025157 0.616352201257862 0.773584905660377 0.748427672955975 1.83647798742138 1.38993710691824
"Arne" 0.754716981132076 0.660377358490566 0.654088050314465 0.572327044025157 0 0.591194968553459 0.69811320754717 0.779874213836478 1.89308176100629 1.32075471698113
"Nev" 0.710691823899371 0.628930817610063 0.647798742138365 0.616352201257862 0.591194968553459 0 0.754716981132076 0.767295597484277 1.71069182389937 1.30188679245283
"Gai" 0.811320754716981 0.754716981132076 0.767295597484277 0.773584905660377 0.69811320754717 0.754716981132076 0 0.893081761006289 1.9559748427673 1.37735849056604
"MCa" 0.830188679245283 0.754716981132076 0.754716981132076 0.748427672955975 0.779874213836478 0.767295597484277 0.893081761006289 0 1.67295597484277 1.40251572327044
"Rome3" 1.86792452830189 1.69182389937107 1.71069182389937 1.83647798742138 1.89308176100629 1.71069182389937 1.9559748427673 1.67295597484277 0 2.49685534591195
"VimC" 1.66037735849057 1.52201257861635 1.52201257861635 1.38993710691824 1.32075471698113 1.30188679245283 1.37735849056604 1.40251572327044 2.49685534591195 0
