"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.84297520661157 0.834710743801653 0.793388429752066 0.892561983471074 0.809917355371901 0.900826446280992 1.30578512396694 0.991735537190083 3.64462809917355
"Ger1" 0.84297520661157 0 0.710743801652893 0.867768595041322 0.942148760330578 0.669421487603306 0.578512396694215 1.29752066115702 1.04132231404959 4.07438016528926
"Dij" 0.834710743801653 0.710743801652893 0 0.644628099173554 0.644628099173554 0.59504132231405 0.520661157024793 1.16528925619835 0.694214876033058 3.98347107438017
"Arne" 0.793388429752066 0.867768595041322 0.644628099173554 0 0.677685950413223 0.59504132231405 0.727272727272727 1.11570247933884 0.884297520661157 4.39669421487603
"Nev" 0.892561983471074 0.942148760330578 0.644628099173554 0.677685950413223 0 0.752066115702479 0.793388429752066 1.2396694214876 0.71900826446281 4.22314049586777
"Che" 0.809917355371901 0.669421487603306 0.59504132231405 0.59504132231405 0.752066115702479 0 0.545454545454545 1.1900826446281 0.975206611570248 4.39669421487603
"Gai" 0.900826446280992 0.578512396694215 0.520661157024793 0.727272727272727 0.793388429752066 0.545454545454545 0 1.23140495867769 0.826446280991736 4.20661157024793
"MCa" 1.30578512396694 1.29752066115702 1.16528925619835 1.11570247933884 1.2396694214876 1.1900826446281 1.23140495867769 0 1.0495867768595 3.52066115702479
"Rou" 0.991735537190083 1.04132231404959 0.694214876033058 0.884297520661157 0.71900826446281 0.975206611570248 0.826446280991736 1.0495867768595 0 3.81818181818182
"Rome3" 3.64462809917355 4.07438016528926 3.98347107438017 4.39669421487603 4.22314049586777 4.39669421487603 4.20661157024793 3.52066115702479 3.81818181818182 0
