"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.511627906976744 0.666666666666667 0.651162790697674 0.651162790697674 0.736434108527132 0.558139534883721 0.720930232558139 2.93023255813953 2.30232558139535
"Ger1" 0.511627906976744 0 0.674418604651163 0.674418604651163 0.682170542635659 0.728682170542636 0.573643410852713 0.75968992248062 2.76744186046512 2.26356589147287
"Dij" 0.666666666666667 0.674418604651163 0 0.596899224806202 0.75968992248062 0.906976744186046 0.550387596899225 0.682170542635659 2.75193798449612 2.14728682170543
"Sens" 0.651162790697674 0.674418604651163 0.596899224806202 0 0.565891472868217 0.790697674418605 0.550387596899225 0.837209302325581 3.13178294573643 2.0077519379845
"Nev" 0.651162790697674 0.682170542635659 0.75968992248062 0.565891472868217 0 0.806201550387597 0.689922480620155 0.75968992248062 2.94573643410853 1.97674418604651
"Che" 0.736434108527132 0.728682170542636 0.906976744186046 0.790697674418605 0.806201550387597 0 0.720930232558139 0.930232558139535 3.10852713178295 2.21705426356589
"Gai" 0.558139534883721 0.573643410852713 0.550387596899225 0.550387596899225 0.689922480620155 0.720930232558139 0 0.75968992248062 2.89922480620155 2.08527131782946
"MCa" 0.720930232558139 0.75968992248062 0.682170542635659 0.837209302325581 0.75968992248062 0.930232558139535 0.75968992248062 0 2.86821705426357 2.25581395348837
"Rome3" 2.93023255813953 2.76744186046512 2.75193798449612 3.13178294573643 2.94573643410853 3.10852713178295 2.89922480620155 2.86821705426357 0 3.29457364341085
"VimA" 2.30232558139535 2.26356589147287 2.14728682170543 2.0077519379845 1.97674418604651 2.21705426356589 2.08527131782946 2.25581395348837 3.29457364341085 0
