"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.416666666666667 0.4375 0.432291666666667 0.557291666666667 0.671875 0.791666666666667 0.817708333333333 0.53125 2.21875
"Ger1" 0.416666666666667 0 0.380208333333333 0.401041666666667 0.515625 0.640625 0.734375 0.703125 0.494791666666667 2.015625
"Dij" 0.4375 0.380208333333333 0 0.34375 0.463541666666667 0.583333333333333 0.666666666666667 0.5625 0.411458333333333 1.96354166666667
"Arne" 0.432291666666667 0.401041666666667 0.34375 0 0.427083333333333 0.5625 0.640625 0.645833333333333 0.447916666666667 2.00520833333333
"Nev" 0.557291666666667 0.515625 0.463541666666667 0.427083333333333 0 0.369791666666667 0.494791666666667 0.546875 0.333333333333333 1.97916666666667
"Aux" 0.671875 0.640625 0.583333333333333 0.5625 0.369791666666667 0 0.614583333333333 0.729166666666667 0.5 2.125
"NIt" 0.791666666666667 0.734375 0.666666666666667 0.640625 0.494791666666667 0.614583333333333 0 0.75 0.541666666666667 2.26041666666667
"Gai" 0.817708333333333 0.703125 0.5625 0.645833333333333 0.546875 0.729166666666667 0.75 0 0.515625 2.296875
"MCa" 0.53125 0.494791666666667 0.411458333333333 0.447916666666667 0.333333333333333 0.5 0.541666666666667 0.515625 0 1.95833333333333
"Rome3" 2.21875 2.015625 1.96354166666667 2.00520833333333 1.97916666666667 2.125 2.26041666666667 2.296875 1.95833333333333 0
