"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 0 0.200945324476239 0.163406088035623 0.223027228264837 0.183279801445361 0.218610847507117 0.198737134097379 0.715453682750565 0.651416161763632 0.331228556828966
"Ger1" 0.200945324476239 0 0.203153514855099 0.132491422731586 0.170030659172203 0.128075041973867 0.125866851595007 0.529965690926345 0.48359369297029 0.346685889480983
"Sens" 0.163406088035623 0.203153514855099 0 0.198737134097379 0.150156945762465 0.187696182203081 0.189904372581941 0.549839404336083 0.503467406380028 0.351102270238704
"Arne" 0.223027228264837 0.132491422731586 0.198737134097379 0 0.165614278414483 0.123658661216147 0.143532374625885 0.547631213957223 0.518924739032046 0.379808745163881
"Nev" 0.183279801445361 0.170030659172203 0.150156945762465 0.165614278414483 0 0.154573326520184 0.156781516899044 0.527757500547485 0.490218264106869 0.320187604934666
"Gai" 0.218610847507117 0.128075041973867 0.187696182203081 0.123658661216147 0.154573326520184 0 0.130283232352726 0.518924739032046 0.490218264106869 0.370975983648442
"MCa" 0.198737134097379 0.125866851595007 0.189904372581941 0.143532374625885 0.156781516899044 0.130283232352726 0 0.534382071684066 0.470344550697131 0.335644937586686
"Rome2" 0.715453682750565 0.529965690926345 0.549839404336083 0.547631213957223 0.527757500547485 0.518924739032046 0.534382071684066 0 0.262774655084312 0.412931600846776
"Rome3" 0.651416161763632 0.48359369297029 0.503467406380028 0.518924739032046 0.490218264106869 0.490218264106869 0.470344550697131 0.262774655084312 0 0.415139791225637
"VimA" 0.331228556828966 0.346685889480983 0.351102270238704 0.379808745163881 0.320187604934666 0.370975983648442 0.335644937586686 0.412931600846776 0.415139791225637 0
