"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.0319434388176668 0.0316240044294901 0.0370543890284935 0.0383321265812002 0.0360960858639635 0.0412070360747902 0.0421653392393202 0.0948720132884707 0.0843306784786406
"Ger1" 0.0319434388176668 0 0.0265130542186635 0.0313045700413135 0.0335406107585502 0.0319434388176668 0.0383321265812002 0.0383321265812002 0.0859278504195238 0.0773031219387536
"Ger2" 0.0316240044294901 0.0265130542186635 0 0.0319434388176668 0.0332211763703735 0.0329017419821968 0.0389709953575536 0.0383321265812002 0.0868861535840537 0.0773031219387536
"Dij" 0.0370543890284935 0.0313045700413135 0.0319434388176668 0 0.0290685293240768 0.0313045700413135 0.0392904297457302 0.0380126921930235 0.093274841347587 0.0705949997870438
"Arne" 0.0383321265812002 0.0335406107585502 0.0332211763703735 0.0290685293240768 0 0.0300268324886068 0.0354572170876102 0.0396098641339069 0.0961497508411772 0.0670812215171002
"Nev" 0.0360960858639635 0.0319434388176668 0.0329017419821968 0.0313045700413135 0.0300268324886068 0 0.0383321265812002 0.0389709953575536 0.0868861535840537 0.0661229183525703
"Gai" 0.0412070360747902 0.0383321265812002 0.0389709953575536 0.0392904297457302 0.0354572170876102 0.0383321265812002 0 0.0453596831210869 0.0993440947229441 0.0699561310106905
"MCa" 0.0421653392393202 0.0383321265812002 0.0383321265812002 0.0380126921930235 0.0396098641339069 0.0389709953575536 0.0453596831210869 0 0.0849695472549939 0.071233868563397
"Rome3" 0.0948720132884707 0.0859278504195238 0.0868861535840537 0.093274841347587 0.0961497508411772 0.0868861535840537 0.0993440947229441 0.0849695472549939 0 0.126815452106137
"VimC" 0.0843306784786406 0.0773031219387536 0.0773031219387536 0.0705949997870438 0.0670812215171002 0.0661229183525703 0.0699561310106905 0.071233868563397 0.126815452106137 0
