"Aqu" "Dij" "Sens" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.036117381489842 0.0311512415349887 0.0338600451467269 0.0410835214446952 0.0419864559819413 0.0334085778781038 0.0383747178329571 0.978103837471784 0.159593679458239
"Dij" 0.036117381489842 0 0.0232505643340858 0.0230248306997742 0.0300225733634311 0.0316027088036117 0.0266365688487584 0.0248306997742664 0.978555304740408 0.151693002257336
"Sens" 0.0311512415349887 0.0232505643340858 0 0.0214446952595937 0.0302483069977427 0.0300225733634311 0.027765237020316 0.0284424379232505 1 0.153950338600451
"Arne" 0.0338600451467269 0.0230248306997742 0.0214446952595937 0 0.0306997742663656 0.0297968397291196 0.0279909706546275 0.0284424379232505 0.956659142212191 0.148984198645598
"Nev" 0.0410835214446952 0.0300225733634311 0.0302483069977427 0.0306997742663656 0 0.0381489841986456 0.0340857787810383 0.0345372460496614 0.97765237020316 0.15079006772009
"NIt" 0.0419864559819413 0.0316027088036117 0.0300225733634311 0.0297968397291196 0.0381489841986456 0 0.0354401805869074 0.0313769751693002 0.962528216704288 0.160270880361174
"Gai" 0.0334085778781038 0.0266365688487584 0.027765237020316 0.0279909706546275 0.0340857787810383 0.0354401805869074 0 0.0261851015801354 0.946726862302482 0.159367945823928
"MCa" 0.0383747178329571 0.0248306997742664 0.0284424379232505 0.0284424379232505 0.0345372460496614 0.0313769751693002 0.0261851015801354 0 0.938826185101577 0.152821670428894
"Rome3" 0.978103837471784 0.978555304740408 1 0.956659142212191 0.97765237020316 0.962528216704288 0.946726862302482 0.938826185101577 0 0.906772009029343
"VimA" 0.159593679458239 0.151693002257336 0.153950338600451 0.148984198645598 0.15079006772009 0.160270880361174 0.159367945823928 0.152821670428894 0.906772009029343 0
