"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 0 0.116366497639447 0.151629072681704 0.148102815177479 0.148102815177479 0.16749723145072 0.126945270152125 0.163970973946494 0.666462668298653 0.523649239377514
"Ger1" 0.116366497639447 0 0.153392201433817 0.153392201433817 0.15515533018593 0.165734102698607 0.13047152765635 0.172786617707058 0.629436964504285 0.51483359561695
"Dij" 0.151629072681704 0.153392201433817 0 0.135760913912689 0.172786617707058 0.206286063997202 0.125182141400012 0.15515533018593 0.625910707000058 0.488386664335258
"Sens" 0.148102815177479 0.153392201433817 0.135760913912689 0 0.128708398904237 0.17983913271551 0.125182141400012 0.190417905228187 0.712304015853587 0.456650346797227
"Nev" 0.148102815177479 0.15515533018593 0.172786617707058 0.128708398904237 0 0.183365390219736 0.156918458938043 0.172786617707058 0.66998892580288 0.449597831788774
"Che" 0.16749723145072 0.165734102698607 0.206286063997202 0.17983913271551 0.183365390219736 0 0.163970973946494 0.211575450253541 0.70701462959725 0.504254823104272
"Gai" 0.126945270152125 0.13047152765635 0.125182141400012 0.125182141400012 0.156918458938043 0.163970973946494 0 0.172786617707058 0.659410153290203 0.474281634318355
"MCa" 0.163970973946494 0.172786617707058 0.15515533018593 0.190417905228187 0.172786617707058 0.211575450253541 0.172786617707058 0 0.652357638281752 0.513070466864836
"Rome3" 0.666462668298653 0.629436964504285 0.625910707000058 0.712304015853587 0.66998892580288 0.70701462959725 0.659410153290203 0.652357638281752 0 0.749329719647957
"VimA" 0.523649239377514 0.51483359561695 0.488386664335258 0.456650346797227 0.449597831788774 0.504254823104272 0.474281634318355 0.513070466864836 0.749329719647957 0
