"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.0211625282167043 0.0222206546275395 0.0219561230248307 0.028304881489842 0.0341245767494356 0.0402088036117381 0.0415314616252821 0.026982223476298 0.11269046275395
"Ger1" 0.0211625282167043 0 0.0193108069977426 0.0203689334085779 0.0261886286681715 0.0325373871331828 0.0372989559819413 0.0357117663656885 0.0251305022573363 0.102373730248307
"Dij" 0.0222206546275395 0.0193108069977426 0 0.017459085778781 0.0235433126410835 0.029627539503386 0.0338600451467269 0.0285694130925508 0.0208979966139955 0.0997284142212191
"Arne" 0.0219561230248307 0.0203689334085779 0.017459085778781 0 0.0216915914221219 0.0285694130925508 0.0325373871331828 0.0328019187358916 0.0227497178329571 0.101844667042889
"Nev" 0.028304881489842 0.0261886286681715 0.0235433126410835 0.0216915914221219 0 0.0187817437923251 0.0251305022573363 0.0277758182844244 0.0169300225733634 0.100522009029345
"Aux" 0.0341245767494356 0.0325373871331828 0.029627539503386 0.0285694130925508 0.0187817437923251 0 0.0312147291196388 0.0370344243792325 0.0253950338600451 0.107928893905192
"NIt" 0.0402088036117381 0.0372989559819413 0.0338600451467269 0.0325373871331828 0.0251305022573363 0.0312147291196388 0 0.0380925507900677 0.0275112866817156 0.114806715575621
"Gai" 0.0415314616252821 0.0357117663656885 0.0285694130925508 0.0328019187358916 0.0277758182844244 0.0370344243792325 0.0380925507900677 0 0.0261886286681715 0.116658436794582
"MCa" 0.026982223476298 0.0251305022573363 0.0208979966139955 0.0227497178329571 0.0169300225733634 0.0253950338600451 0.0275112866817156 0.0261886286681715 0 0.0994638826185099
"Rome3" 0.11269046275395 0.102373730248307 0.0997284142212191 0.101844667042889 0.100522009029345 0.107928893905192 0.114806715575621 0.116658436794582 0.0994638826185099 0
