"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 0 0.14304629498274 0.141615832032913 0.165933702179978 0.171655553979288 0.161642313330496 0.184529720527735 0.188821109377217 0.424847496098738 0.377642218754434
"Ger1" 0.14304629498274 0 0.118728424835674 0.140185369083085 0.150198609731877 0.14304629498274 0.171655553979288 0.171655553979288 0.384794533503571 0.34617203385823
"Ger2" 0.141615832032913 0.118728424835674 0 0.14304629498274 0.148768146782049 0.147337683832222 0.174516479878943 0.171655553979288 0.389085922353053 0.34617203385823
"Dij" 0.165933702179978 0.140185369083085 0.14304629498274 0 0.130172128434293 0.140185369083085 0.17594694282877 0.170225091029461 0.4176951813496 0.316132311911856
"Arne" 0.171655553979288 0.150198609731877 0.148768146782049 0.130172128434293 0 0.134463517283776 0.158781387430841 0.177377405778598 0.430569347898047 0.300397219463753
"Nev" 0.161642313330496 0.14304629498274 0.147337683832222 0.140185369083085 0.134463517283776 0 0.171655553979288 0.174516479878943 0.389085922353053 0.296105830614272
"Gai" 0.184529720527735 0.171655553979288 0.174516479878943 0.17594694282877 0.158781387430841 0.171655553979288 0 0.203125738875491 0.444873977396322 0.313271386012201
"MCa" 0.188821109377217 0.171655553979288 0.171655553979288 0.170225091029461 0.177377405778598 0.174516479878943 0.203125738875491 0 0.380503144654089 0.31899323781151
"Rome3" 0.424847496098738 0.384794533503571 0.389085922353053 0.4176951813496 0.430569347898047 0.389085922353053 0.444873977396322 0.380503144654089 0 0.567893791081478
"VimC" 0.377642218754434 0.34617203385823 0.34617203385823 0.316132311911856 0.300397219463753 0.296105830614272 0.313271386012201 0.31899323781151 0.567893791081478 0
