"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 0 0.191729323308271 0.189849624060151 0.180451127819549 0.203007518796993 0.18421052631579 0.204887218045113 0.296992481203007 0.225563909774436 0.828947368421052
"Ger1" 0.191729323308271 0 0.161654135338346 0.197368421052632 0.214285714285714 0.152255639097745 0.131578947368421 0.295112781954886 0.236842105263159 0.92669172932331
"Dij" 0.189849624060151 0.161654135338346 0 0.146616541353384 0.146616541353384 0.135338345864662 0.118421052631579 0.265037593984963 0.157894736842105 0.906015037593987
"Arne" 0.180451127819549 0.197368421052632 0.146616541353384 0 0.154135338345865 0.135338345864662 0.165413533834587 0.25375939849624 0.201127819548872 1
"Nev" 0.203007518796993 0.214285714285714 0.146616541353384 0.154135338345865 0 0.171052631578947 0.180451127819549 0.281954887218045 0.163533834586466 0.960526315789475
"Che" 0.18421052631579 0.152255639097745 0.135338345864662 0.135338345864662 0.171052631578947 0 0.12406015037594 0.270676691729324 0.221804511278196 1
"Gai" 0.204887218045113 0.131578947368421 0.118421052631579 0.165413533834587 0.180451127819549 0.12406015037594 0 0.280075187969926 0.18796992481203 0.956766917293233
"MCa" 0.296992481203007 0.295112781954886 0.265037593984963 0.25375939849624 0.281954887218045 0.270676691729324 0.280075187969926 0 0.238721804511277 0.800751879699248
"Rou" 0.225563909774436 0.236842105263159 0.157894736842105 0.201127819548872 0.163533834586466 0.221804511278196 0.18796992481203 0.238721804511277 0 0.86842105263158
"Rome3" 0.828947368421052 0.92669172932331 0.906015037593987 1 0.960526315789475 1 0.956766917293233 0.800751879699248 0.86842105263158 0
