"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 0 0.0947681704260653 0.0995065789473685 0.0983219768170428 0.126752427944862 0.15281367481203 0.180059523809524 0.185982534461153 0.120829417293233 0.504640507518797
"Ger1" 0.0947681704260653 0 0.0864759555137844 0.0912143640350879 0.117275610902256 0.145706062030075 0.16702890037594 0.159921287593985 0.112537202380953 0.458441024436091
"Dij" 0.0995065789473685 0.0864759555137844 0 0.0781837406015038 0.105429589598998 0.132675438596491 0.151629072681704 0.127937030075188 0.0935835682957393 0.446595003132833
"Arne" 0.0983219768170428 0.0912143640350879 0.0781837406015038 0 0.0971373746867168 0.127937030075188 0.145706062030075 0.146890664160401 0.10187578320802 0.456071820175438
"Nev" 0.126752427944862 0.117275610902256 0.105429589598998 0.0971373746867168 0 0.084106751253133 0.112537202380953 0.124383223684211 0.0758145363408521 0.450148809523811
"Aux" 0.15281367481203 0.145706062030075 0.132675438596491 0.127937030075188 0.084106751253133 0 0.139783051378446 0.165844298245614 0.113721804511278 0.483317669172933
"NIt" 0.180059523809524 0.16702890037594 0.151629072681704 0.145706062030075 0.112537202380953 0.139783051378446 0 0.170582706766917 0.123198621553885 0.514117324561405
"Gai" 0.185982534461153 0.159921287593985 0.127937030075188 0.146890664160401 0.124383223684211 0.165844298245614 0.170582706766917 0 0.117275610902256 0.522409539473685
"MCa" 0.120829417293233 0.112537202380953 0.0935835682957393 0.10187578320802 0.0758145363408521 0.113721804511278 0.123198621553885 0.117275610902256 0 0.445410401002506
"Rome3" 0.504640507518797 0.458441024436091 0.446595003132833 0.456071820175438 0.450148809523811 0.483317669172933 0.514117324561405 0.522409539473685 0.445410401002506 0
