"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Aux"
"Aqu" 0 0.645103283096422 0.673060092367268 0.702499117844793 0.738849206349206 0.765531944260316 0.812448408033681 5.18844355985856 0.656739148699222 0.660980908657585 3.14563106796116 2.30028616107641 0.622641509433962 1.66037735849057 0.773175731949516 0.991735537190083 0.671875
"Dij" 0.645103283096422 0 0.476021981020695 0.585470500114969 0.605224867724868 0.610620160195283 0.677943877573462 5.62921827755755 0.595430735223813 0.52733850129199 NA 2.56697674418605 0.628930817610063 1.38993710691824 0.751009033250048 0.694214876033058 0.583333333333333
"Arne" 0.673060092367268 0.476021981020695 0 0.573213053710762 0.608501984126984 0.646717568989734 0.709629267786887 5.52255125809062 0.627927973010804 0.648004314994606 2.40776699029126 2.30161812297735 0.654088050314465 1.32075471698113 0.59504132231405 0.884297520661157 0.5625
"Nev" 0.702499117844793 0.585470500114969 0.573213053710762 0 0.56411044973545 0.713252644320529 0.741788992692805 5.17914793483256 0.703289587222056 0.607213734393685 2.32038834951456 2.11780002174222 0.647798742138365 1.30188679245283 0.779133833045038 0.71900826446281 0.369791666666667
"NIt" 0.738849206349206 0.605224867724868 0.608501984126984 0.56411044973545 0 0.756402116402116 0.654338624338624 8.36515211640212 0.734375 0.591111111111111 NA 3.15555555555556 NA NA NA NA 0.614583333333333
"Gai" 0.765531944260316 0.610620160195283 0.646717568989734 0.713252644320529 0.756402116402116 0 0.725351206569492 5.08322820765906 0.634620916959102 0.640765660670831 2.28155339805825 2.28470568559076 0.767295597484277 1.37735849056604 0.633192389006342 0.826446280991736 0.729166666666667
"MCa" 0.812448408033681 0.677943877573462 0.709629267786887 0.741788992692805 0.654338624338624 0.725351206569492 0 4.88026554903474 0.772023457937763 0.744053586212087 2.3495145631068 2.24681033257236 0.754716981132076 1.40251572327044 1.06015760138382 1.0495867768595 0.5
"Rome3" 5.18844355985856 5.62921827755755 5.52255125809062 5.17914793483256 8.36515211640212 5.08322820765906 4.88026554903474 0 2.53509690347169 8.34475468921168 1.15533980582524 7.6577165650636 1.71069182389937 2.49685534591195 3.75261067332949 3.81818181818182 2.125
"Ger1" 0.656739148699222 0.595430735223813 0.627927973010804 0.703289587222056 0.734375 0.634620916959102 0.772023457937763 2.53509690347169 0 0.783811244073154 2.33009708737864 1.89391886806653 0.522012578616352 1.52201257861635 0.699051829072971 1.04132231404959 0.640625
"Sens" 0.660980908657585 0.52733850129199 0.648004314994606 0.607213734393685 0.591111111111111 0.640765660670831 0.744053586212087 8.34475468921168 0.783811244073154 0 2.41747572815534 2.19418412316132 NA NA 0.790697674418605 NA NA
"Rome2" 3.14563106796116 NA 2.40776699029126 2.32038834951456 NA 2.28155339805825 2.3495145631068 1.15533980582524 2.33009708737864 2.41747572815534 0 1.81553398058252 NA NA NA NA NA
"VimA" 2.30028616107641 2.56697674418605 2.30161812297735 2.11780002174222 3.15555555555556 2.28470568559076 2.24681033257236 7.6577165650636 1.89391886806653 2.19418412316132 1.81553398058252 0 NA NA 2.21705426356589 NA NA
"Ger2" 0.622641509433962 0.628930817610063 0.654088050314465 0.647798742138365 NA 0.767295597484277 0.754716981132076 1.71069182389937 0.522012578616352 NA NA NA 0 1.52201257861635 NA NA NA
"VimC" 1.66037735849057 1.38993710691824 1.32075471698113 1.30188679245283 NA 1.37735849056604 1.40251572327044 2.49685534591195 1.52201257861635 NA NA NA 1.52201257861635 0 NA NA NA
"Che" 0.773175731949516 0.751009033250048 0.59504132231405 0.779133833045038 NA 0.633192389006342 1.06015760138382 3.75261067332949 0.699051829072971 0.790697674418605 NA 2.21705426356589 NA NA 0 0.975206611570248 NA
"Rou" 0.991735537190083 0.694214876033058 0.884297520661157 0.71900826446281 NA 0.826446280991736 1.0495867768595 3.81818181818182 1.04132231404959 NA NA NA NA NA 0.975206611570248 0 NA
"Aux" 0.671875 0.583333333333333 0.5625 0.369791666666667 0.614583333333333 0.729166666666667 0.5 2.125 0.640625 NA NA NA NA NA NA NA 0
