"Aqu" "Dij" "Arne" "Nev" "NIt" "Gai" "MCa" "Rome3" "Ger1" "Sens" "Rome2" "VimA" "Ger2" "VimC" "Che" "Rou" "Klo" "Paris" "VimD" "Aux" "Ven"
"Aqu" 0 0.718836805555556 0.7578125 0.73125 0.826666666666667 0.817708333333333 0.7625 2.93023255813953 0.620715408805032 0.718446601941748 2.94781553398058 2.95625 0.622641509433962 1.83654461144867 0.75 0.991735537190083 1.01545595054096 0.75 2.60546875 1.12195444915254 1.61440677966102
"Dij" 0.718836805555556 0 0.572327044025157 0.603731656184486 0.644444444444444 0.59375 0.626799557032115 3.36257613510521 0.645385402954512 0.675402737403101 NA 2.98666666666667 0.628930817610063 1.38993710691824 0.751009033250048 0.694214876033058 0.740340030911901 NA 2.984375 0.583333333333333 NA
"Arne" 0.7578125 0.572327044025157 0 0.604444444444444 0.640625 0.714285714285714 0.723214285714286 2.39567233384853 0.621450815167613 0.632534775888717 2.40776699029126 2.93333333333333 0.654088050314465 1.60529261272785 0.59504132231405 0.884297520661157 0.904173106646059 NA 2.9921875 0.666843220338983 0.860169491525424
"Nev" 0.73125 0.603731656184486 0.604444444444444 0 0.751111111111111 0.689922480620155 0.723214285714286 2.94573643410853 0.700460271317829 0.660194174757282 2.67894417475728 2.95 0.647798742138365 1.51958746402303 0.752066115702479 0.71900826446281 0.797527047913447 0.625 2.74609375 0.528116172316384 0.796610169491525
"NIt" 0.826666666666667 0.644444444444444 0.640625 0.751111111111111 0 0.796610169491525 0.803571428571429 3.88392857142857 0.734375 0.670555555555556 NA 3.15555555555556 NA 1.92796610169492 NA NA NA NA 2.58203125 0.790342514124294 0.86864406779661
"Gai" 0.817708333333333 0.59375 0.714285714285714 0.689922480620155 0.796610169491525 0 0.635593220338983 2.89922480620155 0.640818698347107 0.825242718446602 3.80640169902913 3.13777777777778 0.767295597484277 1.47045890629997 0.720930232558139 0.826446280991736 1.15146831530139 6.0125 2.91015625 0.73534604519774 0.754237288135593
"MCa" 0.7625 0.626799557032115 0.723214285714286 0.723214285714286 0.803571428571429 0.635593220338983 0 2.86821705426357 0.746108490566038 0.83495145631068 2.6935072815534 3.00888888888889 0.754716981132076 1.48515616671997 0.930232558139535 1.0495867768595 1.24574961360124 0.6875 2.6640625 0.625 0.800847457627119
"Rome3" 2.93023255813953 3.36257613510521 2.39567233384853 2.94573643410853 3.88392857142857 2.89922480620155 2.86821705426357 0 2.44682772634906 3.13178294573643 14.7620449029126 3.29457364341085 1.71069182389937 2.64037682549835 4.39669421487603 3.81818181818182 2.52395672333849 20.69375 11.171875 2.0010593220339 1.96610169491525
"Ger1" 0.620715408805032 0.645385402954512 0.621450815167613 0.700460271317829 0.734375 0.640818698347107 0.746108490566038 2.44682772634906 0 0.783811244073154 2.63379854368932 2.26356589147287 0.522012578616352 1.52201257861635 0.728682170542636 1.04132231404959 NA 0.7125 NA 0.640625 NA
"Sens" 0.718446601941748 0.675402737403101 0.632534775888717 0.660194174757282 0.670555555555556 0.825242718446602 0.83495145631068 3.13178294573643 0.783811244073154 0 2.41747572815534 2.5194315245478 NA NA 0.790697674418605 NA 0.936630602782071 NA 3.109375 NA NA
"Rome2" 2.94781553398058 NA 2.40776699029126 2.67894417475728 NA 3.80640169902913 2.6935072815534 14.7620449029126 2.63379854368932 2.41747572815534 0 1.99214199029126 NA NA 3.19375 NA NA 3.075 NA NA NA
"VimA" 2.95625 2.98666666666667 2.93333333333333 2.95 3.15555555555556 3.13777777777778 3.00888888888889 3.29457364341085 2.26356589147287 2.5194315245478 1.99214199029126 0 NA NA 2.63040213178295 NA 3.39876352395672 2.975 NA NA NA
"Ger2" 0.622641509433962 0.628930817610063 0.654088050314465 0.647798742138365 NA 0.767295597484277 0.754716981132076 1.71069182389937 0.522012578616352 NA NA NA 0 1.52201257861635 NA NA NA NA NA NA NA
"VimC" 1.83654461144867 1.38993710691824 1.60529261272785 1.51958746402303 1.92796610169492 1.47045890629997 1.48515616671997 2.64037682549835 1.52201257861635 NA NA NA 1.52201257861635 0 NA NA NA NA NA 1.84322033898305 1.91525423728814
"Che" 0.75 0.751009033250048 0.59504132231405 0.752066115702479 NA 0.720930232558139 0.930232558139535 4.39669421487603 0.728682170542636 0.790697674418605 3.19375 2.63040213178295 NA NA 0 0.975206611570248 NA 0.75 NA NA NA
"Rou" 0.991735537190083 0.694214876033058 0.884297520661157 0.71900826446281 NA 0.826446280991736 1.0495867768595 3.81818181818182 1.04132231404959 NA NA NA NA NA 0.975206611570248 0 NA NA NA NA NA
"Klo" 1.01545595054096 0.740340030911901 0.904173106646059 0.797527047913447 NA 1.15146831530139 1.24574961360124 2.52395672333849 NA 0.936630602782071 NA 3.39876352395672 NA NA NA NA 0 NA NA NA NA
"Paris" 0.75 NA NA 0.625 NA 6.0125 0.6875 20.69375 0.7125 NA 3.075 2.975 NA NA 0.75 NA NA 0 NA NA NA
"VimD" 2.60546875 2.984375 2.9921875 2.74609375 2.58203125 2.91015625 2.6640625 11.171875 NA 3.109375 NA NA NA NA NA NA NA NA 0 NA NA
"Aux" 1.12195444915254 0.583333333333333 0.666843220338983 0.528116172316384 0.790342514124294 0.73534604519774 0.625 2.0010593220339 0.640625 NA NA NA NA 1.84322033898305 NA NA NA NA NA 0 0.669491525423729
"Ven" 1.61440677966102 NA 0.860169491525424 0.796610169491525 0.86864406779661 0.754237288135593 0.800847457627119 1.96610169491525 NA NA NA NA NA 1.91525423728814 NA NA NA NA NA 0.669491525423729 0
