"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 1 0.908596739872795 0.95982377016835 0.892324073418805 0.940128711193353 0.890923700256183 0.909567469715249 0.317011434082837 0.379829276350018 0.550797564412764
"Ger1" 0.908596739872795 1 0.914857924121438 0.980663107447871 0.952087078876239 0.983016740737476 0.983644624240308 0.474249843291454 0.522818550709875 0.501038690627459
"Sens" 0.95982377016835 0.914857924121438 1 0.920803562813764 0.974816130541981 0.928867770288688 0.928638986730045 0.474548076029539 0.525237694748702 0.484863053394179
"Arne" 0.892324073418805 0.980663107447871 0.920803562813764 1 0.95871969074051 0.98793932343797 0.969681901991166 0.50075162673977 0.526866318833085 0.463496450008711
"Nev" 0.940128711193353 0.952087078876239 0.974816130541981 0.95871969074051 1 0.967833577259426 0.966644539299679 0.490152352221887 0.528790819566932 0.538797683543965
"Gai" 0.890923700256183 0.983016740737476 0.928867770288688 0.98793932343797 0.967833577259426 1 0.980049520133906 0.504532273358678 0.531067516967469 0.437412887383604
"MCa" 0.909567469715249 0.983644624240308 0.928638986730045 0.969681901991166 0.966644539299679 0.980049520133906 1 0.45851934855499 0.531670403294659 0.520506998965768
"Rome2" 0.317011434082837 0.474249843291454 0.474548076029539 0.50075162673977 0.490152352221887 0.504532273358678 0.45851934855499 1 0.812515191009537 0.316866548176473
"Rome3" 0.379829276350018 0.522818550709875 0.525237694748702 0.526866318833085 0.528790819566932 0.531067516967469 0.531670403294659 0.812515191009537 1 0.263251324826504
"VimA" 0.550797564412764 0.501038690627459 0.484863053394179 0.463496450008711 0.538797683543965 0.437412887383604 0.520506998965768 0.316866548176473 0.263251324826504 1
