"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 1 0.987203612039205 0.987230421240103 0.974232786386582 0.971120505796631 0.97556270118324 0.962676919050037 0.965391319838977 0.818425778404511 0.810971541318119
"Ger1" 0.987203612039205 1 1 0.99063607712506 0.984005818957922 0.987606279856517 0.971806174814762 0.975353687148012 0.826913404499149 0.838056733737768
"Ger2" 0.987230421240103 1 1 0.987177036781172 0.983851889886693 0.98342240757413 0.96899045399991 0.975353687148012 0.825213321049601 0.838056733737768
"Dij" 0.974232786386582 0.99063607712506 0.987177036781172 1 0.9925405048427 0.987043088073886 0.967094386150673 0.975526461071836 0.80602737888583 0.853832258741121
"Arne" 0.971120505796631 0.984005818957922 0.983851889886693 0.9925405048427 1 0.98917448946778 0.973995361334516 0.970727649692706 0.805156640337354 0.862265475420592
"Nev" 0.97556270118324 0.987606279856517 0.98342240757413 0.987043088073886 0.98917448946778 1 0.968370008787331 0.97145266496329 0.828352419929277 0.867027997667716
"Gai" 0.962676919050037 0.971806174814762 0.96899045399991 0.967094386150673 0.973995361334516 0.968370008787331 1 0.954980918235572 0.790863737296349 0.852457624592191
"MCa" 0.965391319838977 0.975353687148012 0.975353687148012 0.975526461071836 0.970727649692706 0.97145266496329 0.954980918235572 1 0.836601417055616 0.863462240614293
"Rome3" 0.818425778404511 0.826913404499149 0.825213321049601 0.80602737888583 0.805156640337354 0.828352419929277 0.790863737296349 0.836601417055616 1 0.660940705712015
"VimC" 0.810971541318119 0.838056733737768 0.838056733737768 0.853832258741121 0.862265475420592 0.867027997667716 0.852457624592191 0.863462240614293 0.660940705712015 1
