"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 1 0.954854026860166 0.955414222048531 0.95915517418919 0.948685630723231 0.957637257836225 0.94926566900968 0.908903115155106 0.929784548591716 0.66239431126907
"Ger1" 0.954854026860166 1 0.969272429152439 0.9528253213047 0.94444706108019 0.973477456643995 0.983822196439428 0.908660834750887 0.923705976168413 0.623492213557117
"Dij" 0.955414222048531 0.969272429152439 1 0.974559018744152 0.97354137406222 0.980681276781217 0.988646155745878 0.919673005803057 0.966792889119664 0.624696321376392
"Arne" 0.95915517418919 0.9528253213047 0.974559018744152 1 0.969720898271302 0.978894777287476 0.966646683596872 0.930389766581785 0.94425357006903 0.627213511073313
"Nev" 0.948685630723231 0.94444706108019 0.97354137406222 0.969720898271302 1 0.963604780884514 0.960650353565802 0.913504032419616 0.963202115461637 0.612246712612341
"Che" 0.957637257836225 0.973477456643995 0.980681276781217 0.978894777287476 0.963604780884514 1 0.984640220731412 0.927678729401713 0.936379037391232 0.627547889718981
"Gai" 0.94926566900968 0.983822196439428 0.988646155745878 0.966646683596872 0.960650353565802 0.984640220731412 1 0.924587085972051 0.95409763556488 0.64791465226975
"MCa" 0.908903115155106 0.908660834750887 0.919673005803057 0.930389766581785 0.913504032419616 0.927678729401713 0.924587085972051 1 0.917025707624134 0.57313774795818
"Rou" 0.929784548591716 0.923705976168413 0.966792889119664 0.94425357006903 0.963202115461637 0.936379037391232 0.95409763556488 0.917025707624134 1 0.591995607242511
"Rome3" 0.66239431126907 0.623492213557117 0.624696321376392 0.627213511073313 0.612246712612341 0.627547889718981 0.64791465226975 0.57313774795818 0.591995607242511 1
