"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 1 0.998819898329702 0.986616092860351 0.987892382899544 0.98792337270068 0.982316813597913 0.994767937450479 0.981905368116015 0.747190176333389 0.863506157347181
"Ger1" 0.998819898329702 1 0.98721176884502 0.987887935637805 0.986252687746278 0.983476852972057 0.995105466183722 0.980321270410098 0.766176354933765 0.859326563156882
"Dij" 0.986616092860351 0.98721176884502 1 0.990367908726925 0.979195928676269 0.968601426841935 0.993769915873014 0.983448050717215 0.767694763918593 0.869077051643136
"Sens" 0.987892382899544 0.987887935637805 0.990367908726925 1 0.993775907511469 0.977939759686806 0.994342486510063 0.973362366730793 0.724015382420769 0.885008229394937
"Nev" 0.98792337270068 0.986252687746278 0.979195928676269 0.993775907511469 1 0.976162624970386 0.983922329899456 0.97861412056277 0.740296449265888 0.88015632590305
"Che" 0.982316813597913 0.983476852972057 0.968601426841935 0.977939759686806 0.976162624970386 1 0.982309186377489 0.967377665555444 0.749117453950711 0.8659221549661
"Gai" 0.994767937450479 0.995105466183722 0.993769915873014 0.994342486510063 0.983922329899456 0.982309186377489 1 0.978365302279775 0.748659898316263 0.874410292120598
"MCa" 0.981905368116015 0.980321270410098 0.983448050717215 0.973362366730793 0.97861412056277 0.967377665555444 0.978365302279775 1 0.757382699716725 0.8646234622789
"Rome3" 0.747190176333389 0.766176354933765 0.767694763918593 0.724015382420769 0.740296449265888 0.749117453950711 0.748659898316263 0.757382699716725 1 0.687964500010981
"VimA" 0.863506157347181 0.859326563156882 0.869077051643136 0.885008229394937 0.88015632590305 0.8659221549661 0.874410292120598 0.8646234622789 0.687964500010981 1
