"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 1 0.986982379936725 0.982015825867334 0.979031838297727 0.958786547383625 0.939820693978285 0.921482778503658 0.92361856059492 0.967934672051449 0.638832426483323
"Ger1" 0.986982379936725 1 0.992405222388293 0.985801254853749 0.966856835436626 0.94806751055302 0.931892121470005 0.940018757122051 0.975814226004174 0.66170336921644
"Dij" 0.982015825867334 0.992405222388293 1 0.990479657627808 0.97224309761029 0.954507137938643 0.940310854926858 0.960369860104377 0.983791235419064 0.698330833415259
"Arne" 0.979031838297727 0.985801254853749 0.990479657627808 1 0.975139555449292 0.954769981989408 0.942824139476569 0.946944412873285 0.975186388018982 0.688940193497377
"Nev" 0.958786547383625 0.966856835436626 0.97224309761029 0.975139555449292 1 0.983751723217447 0.963214372954281 0.961050604298121 0.992373543000463 0.686773628848583
"Aux" 0.939820693978285 0.94806751055302 0.954507137938643 0.954769981989408 0.983751723217447 1 0.94600660890797 0.935123562769821 0.966334940633851 0.654587830731378
"NIt" 0.921482778503658 0.931892121470005 0.940310854926858 0.942824139476569 0.963214372954281 0.94600660890797 1 0.929984589881018 0.960738600325033 0.627967762999833
"Gai" 0.92361856059492 0.940018757122051 0.960369860104377 0.946944412873285 0.961050604298121 0.935123562769821 0.929984589881018 1 0.967715771526881 0.640317836249802
"MCa" 0.967934672051449 0.975814226004174 0.983791235419064 0.975186388018982 0.992373543000463 0.966334940633851 0.960738600325033 0.967715771526881 1 0.701530303963052
"Rome3" 0.638832426483323 0.66170336921644 0.698330833415259 0.688940193497377 0.686773628848583 0.654587830731378 0.627967762999833 0.640317836249802 0.701530303963052 1
