"Aqu" "Ger1" "Dij" "Sens" "Nev" "Che" "Gai" "MCa" "Rome3" "VimA"
"Aqu" 1 0.998398230346298 0.981833822590184 0.983566150156151 0.9836082130769 0.975998346521732 0.992898443219747 0.975439885413131 0.65685744381274 0.8147348651551
"Ger1" 0.998398230346298 1 0.982642342516641 0.983560113821253 0.981340567391608 0.977572885320694 0.993356576019461 0.97328976589572 0.682627668097032 0.809061839425784
"Dij" 0.981833822590184 0.982642342516641 1 0.986926218400316 0.971762322723102 0.957382246869095 0.991543813600318 0.977533791589259 0.684688627330478 0.822296323334368
"Sens" 0.983566150156151 0.983560113821253 0.986926218400316 1 0.99155194614084 0.970057305758984 0.99232097229275 0.963844341813124 0.625401949295342 0.84391994925816
"Nev" 0.9836082130769 0.981340567391608 0.971762322723102 0.99155194614084 1 0.96764517421901 0.97817753781945 0.970972625865674 0.647500484920513 0.837334388054749
"Che" 0.975998346521732 0.977572885320694 0.957382246869095 0.970057305758984 0.96764517421901 1 0.975987993981333 0.955721217365102 0.659473366558537 0.818014134871262
"Gai" 0.992898443219747 0.993356576019461 0.991543813600318 0.99232097229275 0.97817753781945 0.975987993981333 1 0.970634901087362 0.658852319449982 0.829535210430033
"MCa" 0.975439885413131 0.97328976589572 0.977533791589259 0.963844341813124 0.970972625865674 0.955721217365102 0.970634901087362 1 0.670691908300831 0.816251399855968
"Rome3" 0.65685744381274 0.682627668097032 0.684688627330478 0.625401949295342 0.647500484920513 0.659473366558537 0.658852319449982 0.670691908300831 1 0.576469547209517
"VimA" 0.8147348651551 0.809061839425784 0.822296323334368 0.84391994925816 0.837334388054749 0.818014134871262 0.829535210430033 0.816251399855968 0.576469547209517 1
