"Aqu" "Ger1" "Dij" "Arne" "Nev" "Aux" "NIt" "Gai" "MCa" "Rome3"
"Aqu" 1 0.989498530401927 0.985491951909593 0.98308473349402 0.966752615487413 0.951452635001766 0.936659219545425 0.938382180469963 0.974132516929579 0.708641804365212
"Ger1" 0.989498530401927 1 0.993873202182443 0.988545702689173 0.973263013257845 0.958105440439281 0.945056560854026 0.951612414905669 0.980489047223036 0.727092067057136
"Dij" 0.985491951909593 0.993873202182443 1 0.99231982608965 0.977608175291231 0.963300364771404 0.95184805369386 0.968029892771617 0.986924196001908 0.756639879934509
"Arne" 0.98308473349402 0.988545702689173 0.99231982608965 1 0.979944782427599 0.963512404206779 0.953875550360824 0.957199424125848 0.979982562820974 0.749064338543322
"Nev" 0.966752615487413 0.973263013257845 0.977608175291231 0.979944782427599 1 0.986892321036898 0.970324595264807 0.968579057244072 0.993847646041876 0.747316544961932
"Aux" 0.951452635001766 0.958105440439281 0.963300364771404 0.963512404206779 0.986892321036898 1 0.956442886465136 0.947663403149547 0.972841994486511 0.721351877167465
"NIt" 0.936659219545425 0.945056560854026 0.95184805369386 0.953875550360824 0.970324595264807 0.956442886465136 1 0.943517732336083 0.968327359912153 0.699877150556714
"Gai" 0.938382180469963 0.951612414905669 0.968029892771617 0.957199424125848 0.968579057244072 0.947663403149547 0.943517732336083 1 0.973955927261685 0.709840102166771
"MCa" 0.974132516929579 0.980489047223036 0.986924196001908 0.979982562820974 0.993847646041876 0.972841994486511 0.968327359912153 0.973955927261685 1 0.759220931042489
"Rome3" 0.708641804365212 0.727092067057136 0.756639879934509 0.749064338543322 0.747316544961932 0.721351877167465 0.699877150556714 0.709840102166771 0.759220931042489 1
