"Aqu" "Ger1" "Sens" "Arne" "Nev" "Gai" "MCa" "Rome2" "Rome3" "VimA"
"Aqu" 1 0.875936987459556 0.945468202135295 0.853849853810951 0.918735803912307 0.851949106365029 0.877254573598717 0.0729694006489705 0.158232997834792 0.390290813239055
"Ger1" 0.875936987459556 1 0.884435386519681 0.973753746421634 0.934967075288628 0.976948368100527 0.977800603773274 0.286391446058946 0.352314479319893 0.322752349361142
"Sens" 0.945468202135295 0.884435386519681 1 0.892505490875045 0.965817557185171 0.903451160336921 0.903140628989729 0.286796241816488 0.355598019718872 0.300796914925552
"Arne" 0.853849853810951 0.973753746421634 0.892505490875045 1 0.943969618608722 0.983629863251278 0.958848791955147 0.32236271325135 0.357808575555976 0.271795704464689
"Nev" 0.918735803912307 0.934967075288628 0.965817557185171 0.943969618608722 1 0.956340033142239 0.954726134129164 0.307976159362554 0.360420729196285 0.374003195394376
"Gai" 0.851949106365029 0.976948368100527 0.903451160336921 0.983629863251278 0.956340033142239 1 0.972920915179935 0.32749424147299 0.363510924641836 0.23639209465302
"MCa" 0.877254573598717 0.977800603773274 0.903140628989729 0.958848791955147 0.954726134129164 0.972920915179935 1 0.265040210194477 0.364329231274078 0.349176975552326
"Rome2" 0.0729694006489705 0.286391446058946 0.286796241816488 0.32236271325135 0.307976159362554 0.32749424147299 0.265040210194477 1 0.745524063621407 0.0727727448404888
"Rome3" 0.158232997834792 0.352314479319893 0.355598019718872 0.357808575555976 0.360420729196285 0.363510924641836 0.364329231274078 0.745524063621407 1 0
"VimA" 0.390290813239055 0.322752349361142 0.300796914925552 0.271795704464689 0.374003195394376 0.23639209465302 0.349176975552326 0.0727727448404888 0 1
