"Aqu" "Ger1" "Ger2" "Dij" "Arne" "Nev" "Gai" "MCa" "Rome3" "VimC"
"Aqu" 1 0.982631271162067 0.982667659691563 0.96502577543509 0.960801430424604 0.966830888686695 0.949340823801042 0.953025120604563 0.75354659232644 0.743428844799257
"Ger1" 0.982631271162067 1 1 0.987290207379423 0.978290858767664 0.983177818215195 0.96173209924185 0.966547190809425 0.765066974216016 0.78019198171738
"Ger2" 0.982667659691563 1 1 0.982595200166721 0.978081928536208 0.977498985767479 0.957910279251215 0.966547190809425 0.762759425513404 0.78019198171738
"Dij" 0.96502577543509 0.987290207379423 0.982595200166721 1 0.989875115614503 0.98241338958219 0.955336717990598 0.966781699441264 0.736718059155666 0.801604337836837
"Arne" 0.960801430424604 0.978290858767664 0.978081928536208 0.989875115614503 1 0.985306372584015 0.964703514859582 0.960268200956859 0.735536192695884 0.813050869013137
"Nev" 0.966830888686695 0.983177818215195 0.977498985767479 0.98241338958219 0.985306372584015 1 0.957068139681119 0.961252275031255 0.767020171389787 0.819515111715714
"Gai" 0.949340823801042 0.96173209924185 0.957910279251215 0.955336717990598 0.964703514859582 0.957068139681119 1 0.938894926748492 0.716136221548818 0.799738526339305
"MCa" 0.953025120604563 0.966547190809425 0.966547190809425 0.966781699441264 0.960268200956859 0.961252275031255 0.938894926748492 1 0.778216658610339 0.814675256316472
"Rome3" 0.75354659232644 0.765066974216016 0.762759425513404 0.736718059155666 0.735536192695884 0.767020171389787 0.716136221548818 0.778216658610339 1 0.539789746879232
"VimC" 0.743428844799257 0.78019198171738 0.78019198171738 0.801604337836837 0.813050869013137 0.819515111715714 0.799738526339305 0.814675256316472 0.539789746879232 1
