"Aqu" "Ger1" "Dij" "Arne" "Nev" "Che" "Gai" "MCa" "Rou" "Rome3"
"Aqu" 1 0.938722695186113 0.939483056496886 0.944560706809291 0.930350238818298 0.942500416232443 0.931137533462992 0.876352835214204 0.904695517244399 0.541762747450577
"Ger1" 0.938722695186113 1 0.958293008344637 0.935969102782315 0.924597164824588 0.964000555074281 0.978041625175963 0.876023984396574 0.896444979947035 0.488960348175421
"Dij" 0.939483056496886 0.958293008344637 1 0.965468575495087 0.964087311142366 0.973778407929633 0.984589257318382 0.89097096892909 0.95492749155943 0.490594701734308
"Arne" 0.944560706809291 0.935969102782315 0.965468575495087 1 0.958901722189636 0.971353565437286 0.954729044615827 0.905516988677553 0.924334536580141 0.494011320971972
"Nev" 0.930350238818298 0.924597164824588 0.964087311142366 0.958901722189636 1 0.950600224551588 0.946590136147945 0.882597729055956 0.950053680748462 0.473696661488604
"Che" 0.942500416232443 0.964000555074281 0.973778407929633 0.971353565437286 0.950600224551588 1 0.979151941786701 0.901837257350675 0.913646315558306 0.494465178110689
"Gai" 0.931137533462992 0.978041625175963 0.984589257318382 0.954729044615827 0.946590136147945 0.979151941786701 1 0.897640923466622 0.937696033963942 0.522109289647059
"MCa" 0.876352835214204 0.876023984396574 0.89097096892909 0.905516988677553 0.882597729055956 0.901837257350675 0.897640923466622 1 0.88737775150213 0.420613478617659
"Rou" 0.904695517244399 0.896444979947035 0.95492749155943 0.924334536580141 0.950053680748462 0.913646315558306 0.937696033963942 0.88737775150213 1 0.446209533174378
"Rome3" 0.541762747450577 0.488960348175421 0.490594701734308 0.494011320971972 0.473696661488604 0.494465178110689 0.522109289647059 0.420613478617659 0.446209533174378 1
